time	Core_1,1	Core_1,2	Core_1,3	Core_1,4
0	45	45	45	45
0.0005	45	45.0017	45.534	45.0017
0.000700007	45	45.0028	45.6596	45.0028
0.00120001	45	45.0056	45.8863	45.0057
0.00140001	45	45.0068	45.945	45.0068
0.00190001	45.0001	45.0094	46.0479	45.0095
0.00210002	45.0001	45.0104	46.0776	45.0105
0.00260002	45.0002	45.0129	46.1349	45.013
0.00280003	45.0002	45.0138	46.153	45.0139
0.00330003	45.0003	45.0162	46.1904	45.0163
0.00350004	45.0003	45.0171	46.2029	45.0173
0.00400004	45.0004	45.0194	46.2296	45.0195
0.00420004	45.0005	45.0203	46.2389	45.0204
0.00470004	45.0006	45.0224	46.259	45.0225
0.00490005	45.0006	45.0232	46.266	45.0234
0.00540005	45.0008	45.0252	46.2816	45.0253
0.00590005	45.0009	45.027	46.2946	45.0272
0.00630007	45.001	45.0284	46.3036	45.0285
0.00680007	45.0011	45.0299	46.3133	45.0301
0.00700007	45.0012	45.0305	46.3168	45.0307
0.00750007	45.0013	45.032	46.3246	45.0322
0.00770008	45.0014	45.0325	46.3275	45.0327
0.00820008	45.0015	45.0338	46.3338	45.034
0.00840009	45.0016	45.0343	46.3361	45.0344
0.00890009	45.0017	45.0354	46.3414	45.0356
0.00910009	45.0017	45.0358	46.3433	45.036
0.00960009	45.0019	45.0368	46.3477	45.037
0.0098001	45.0019	45.0372	46.3494	45.0374
0.0103001	45.002	45.0381	46.3532	45.0383
0.0105001	45.0021	45.0385	46.3546	45.0386
0.0110001	45.0022	45.0393	46.358	45.0395
0.0112001	45.0022	45.0396	46.3592	45.0398
0.0117001	45.0024	45.0404	46.3621	45.0405
0.0119001	45.0024	45.0407	46.3632	45.0408
0.0124001	45.0025	45.0414	46.3658	45.0415
0.0126001	45.0025	45.0417	46.3668	45.0418
0.0131001	45.0026	45.0423	46.3692	45.0425
0.0133001	45.0027	45.0426	46.3701	45.0427
0.0138001	45.0028	45.0432	46.3723	45.0433
0.0140001	45.0028	45.0434	46.3731	45.0436
0.0145001	45.0029	45.044	46.3751	45.0442
0.0147002	45.003	45.0443	46.3759	45.0444
0.0152002	45.003	45.0448	46.3779	45.0449
0.0154002	45.0031	45.0451	46.3786	45.0452
0.0159002	45.0032	45.0456	46.3804	45.0457
0.0161002	45.0032	45.0458	46.3811	45.0459
0.0166002	45.0033	45.0464	46.3828	45.0464
0.0168002	45.0033	45.0466	46.3834	45.0467
0.0173002	45.0034	45.0471	46.3851	45.0472
0.0175002	45.0035	45.0473	46.3857	45.0474
0.0180002	45.0036	45.0478	46.3873	45.0479
0.0182002	45.0036	45.048	46.3879	45.0481
0.0187002	45.0037	45.0485	46.3894	45.0486
0.0189002	45.0037	45.0487	46.39	45.0488
0.0194002	45.0038	45.0492	46.3915	45.0493
0.0196002	45.0039	45.0494	46.3921	45.0494
0.0201002	45.004	45.0499	46.3936	45.0499
0.0203002	45.004	45.0501	46.3941	45.0501
0.0208002	45.0041	45.0506	46.3955	45.0506
0.0210002	45.0041	45.0508	46.396	45.0508
0.0215002	45.0042	45.0513	46.3973	45.0513
0.0217002	45.0043	45.0515	46.3979	45.0515
0.0222002	45.0044	45.052	46.3992	45.0519
0.0224002	45.0044	45.0522	46.3997	45.0521
0.0229002	45.0045	45.0527	46.401	45.0526
0.0231002	45.0045	45.0528	46.4015	45.0528
0.0236002	45.0046	45.0533	46.4027	45.0532
0.0238002	45.0047	45.0535	46.4032	45.0534
0.0243002	45.0048	45.054	46.4045	45.0539
0.0245003	45.0048	45.0542	46.405	45.0541
0.0250003	45.0049	45.0556	46.7064	45.0555
0.0252003	45.005	45.0564	46.7775	45.0563
0.0257003	45.0051	45.0589	47.0205	45.0587
0.0259003	45.0051	45.0599	47.0808	45.0597
0.0264003	45.0053	45.0623	47.1403	45.0622
0.0266003	45.0053	45.0632	47.1587	45.0631
0.0271003	45.0055	45.0656	47.2581	45.0654
0.0273003	45.0055	45.0666	47.2849	45.0664
0.0278003	45.0057	45.0687	47.2566	45.0686
0.0280003	45.0058	45.0695	47.2533	45.0694
0.0285003	45.006	45.0685	46.326	45.0683
0.0290003	45.0061	45.0656	45.8778	45.0653
0.0295003	45.0063	45.0627	45.6394	45.0624
0.0300003	45.0064	45.0601	45.4991	45.0598
0.0305003	45.0065	45.0576	45.4077	45.0572
0.0310003	45.0066	45.0551	45.3429	45.0547
0.0315003	45.0067	45.0527	45.2939	45.0522
0.0320003	45.0067	45.0503	45.2555	45.0498
0.0325003	45.0067	45.048	45.2246	45.0475
0.0330003	45.0067	45.0458	45.1994	45.0452
0.0335003	45.0067	45.0438	45.1786	45.0431
0.0336003	45.0067	45.0434	45.175	45.0427
0.0341003	45.0067	45.0422	45.3734	45.0415
0.0343004	45.0067	45.042	45.4181	45.0413
0.0348004	45.0066	45.0426	45.8302	45.0418
0.0350004	45.0066	45.0431	45.9277	45.0424
0.0355004	45.0066	45.0445	46.0856	45.0438
0.0357004	45.0066	45.0451	46.1271	45.0443
0.0362004	45.0067	45.0465	46.2009	45.0457
0.0364004	45.0067	45.047	46.2225	45.0463
0.0369004	45.0067	45.0484	46.2643	45.0477
0.0371004	45.0067	45.049	46.2776	45.0483
0.0376004	45.0068	45.0505	46.3052	45.0497
