,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9
0,105840.7288250117,55381.967493444594,134230.80158776094,177419.52106175118,109831.30521108556,61613.27474642404,285060.451817298,118317.9419497826,107150.00338188915,8310.841597644194
1,104324.14737881102,167274.50081569,196188.04444250927,160710.79945816955,174916.57233471837,3563.7086033129076,73467.17087419187,50548.24394083465,149528.02576620266,64038.167524426
2,103909.29615248885,13583.047056709895,200764.61901551436,175422.42210302193,181240.127368526,167397.15676319276,137919.41788751038,27812.688891123587,205813.64365563844,70131.74761540796
3,176280.9300317144,95407.97160769673,101682.66906412647,175369.78280609712,137266.59150161935,140718.94309544962,171424.60914342097,103321.78829864423,81089.73535386709,197189.19422150828
4,230153.00111140817,139815.90788591644,206128.91974688714,234879.18161288355,166205.74827575422,141845.3614802983,141900.8725780404,99623.20488959648,225282.43888839532,151132.17078747592
5,228578.355687902,81435.15639020855,155152.28972051275,36618.176124093814,70114.56860220527,103310.38544476428,61938.73655186762,88188.32651304077,89786.12758867885,288975.1635167431
6,188750.31568671518,71129.23414169136,179230.70364565385,129751.19744690885,33557.48378484202,68228.06353906718,88085.63895805998,72950.25540825335,98033.93933097602,130856.07799070519
7,119082.34003612779,124032.68456284533,205174.63724298144,108540.38904461653,303397.21287378244,46522.823037711256,156221.6802900809,86757.80997346614,170362.89005539994,201669.58008742105
8,199427.01236038422,31782.920166044103,57575.99460835848,98868.1212115057,86401.34698233653,237537.17396993414,122050.15400660445,102492.62679622488,194084.47440101058,235138.1068947356
9,238247.39270491523,142129.27719832133,201418.91318393685,194467.4555787093,104484.25969881112,41469.39072225241,65660.45564749477,138055.16154421118,195532.7461988529,185240.27467881746
10,77137.66456158452,94363.03738278436,110484.91959404742,106039.85861323612,50247.83002001935,26652.68943522081,66965.494620258,92954.82401113599,79486.9880610856,98395.05410193662
11,78518.63319731236,76898.13545903172,91669.80886761578,66120.04784590624,184454.24702261522,129831.56847171218,112216.41978431349,97765.53809138684,140813.7475044728,74344.27656287726
12,137629.07452613328,132116.0633153246,70653.53170172093,134206.47491672577,130959.8718047415,90352.40204831296,65598.00807697515,113777.59517543887,65942.03057856465,104983.92574890718
13,126677.06861364818,129037.36938595252,129393.32249453037,353507.39487040794,96827.48083686271,81279.57197126377,105472.49624954864,57986.85070548136,35944.17715785189,81522.18280206768
14,93114.8745150117,152198.76471155652,89386.73877850658,84178.6911939784,45876.94954513846,86109.62076074725,208688.79095034607,50039.43101745804,95126.30350808683,97013.11216675586
15,199142.52695673992,238216.17158908758,181282.08958516037,94802.97488424569,298701.3726161376,206029.55639935346,132513.4393975775,127983.71731513768,51854.741167303815,93539.23916512718
16,310790.87987939373,45240.579963706805,190196.91785490044,86675.83673901505,167143.6248652203,181084.51673501713,201235.33700098368,79328.63786242249,110108.59185653899,96264.303302508
17,174596.27591374048,17982.815763102288,62112.13808600644,286741.0468419892,108105.78653706025,88805.55662220463,103795.53759755315,93585.32208244217,100544.69415313823,29098.582521841436
18,153999.24875313402,328969.9281281746,107719.4270939122,79297.69126161699,59426.892226454744,184178.4109355973,91646.93060409532,153158.15106018397,103478.03799237894,113451.89209629079
19,122081.48044826339,19710.321975309136,108317.08318411297,44235.03907733719,87977.57813480438,25455.792540414826,157205.21366043147,19508.52455380311,321405.10690324986,217018.0965064249
20,85303.76602620851,79401.16763261284,149622.0354039422,138682.1162695327,76557.00008046797,121755.9736289541,93070.54963878126,54351.950612024055,164959.9565908975,202088.0416538056
21,60838.61946453875,103936.67107980612,89738.0471241515,125972.30816899729,73927.51370383719,71111.48388842688,128801.93162588704,252687.2284272218,157194.3541207059,250249.46704498283
22,52805.64552356997,198173.36718181102,181018.5345900331,20301.611470690274,161524.21747181588,112377.95608727571,121590.28931886997,45929.06370037172,189550.6357008989,132651.02765943122
23,114585.93210663807,207017.4328236408,116375.43817014803,134771.41399615334,116675.99945518606,34364.65261867703,193131.2703201462,141801.79357777853,269164.46947988705,58446.80900940882
24,73036.49124709157,120080.28678965394,260310.20174780485,55895.49799784403,42379.17692331659,164626.16888503815,231098.9771192958,57396.87212722077,222217.90690276824,131254.12922637424
25,71049.25257917543,176307.45642473185,262893.73151298345,104697.89470281216,188848.1686597347,88944.58408159642,99458.82507019273,62307.5456937394,29059.111379708,162325.50310582508
