,TTF0,TTF1
0,140931.34516928202,259674.37041059282
1,231347.4110672511,237100.96372542903
2,218301.5417288923,238178.09305640604
3,392605.32156416954,305906.5822915756
4,166301.64062127768,273657.1988833392
5,214586.34054466966,249320.58182112826
6,73298.42180428983,256080.1137950793
7,215658.51420859556,164414.21227466525
8,387720.3365450373,218394.79259004968
9,319595.60930777655,257610.68506311736
10,328292.06538347166,274907.98461678217
11,207103.55042999698,340467.1001372355
12,144675.05374505208,184851.9038612365
13,322735.2696100552,227014.5711293902
14,104743.28398141309,184418.6686035848
15,140642.92415724962,288173.38498297846
16,180232.4956483844,90395.43801943032
17,217201.0774462436,241451.76057397452
18,279955.18960104324,285987.37108569714
19,119518.74441791433,329121.66243153025
20,115527.26803148199,350935.7790155661
21,520440.8845532759,127344.89438406631
22,335313.1686883538,220964.99352647454
23,511244.24814775924,201983.66029573296
24,203986.80314654246,375819.8889512167
25,116744.24385912195,270424.18908350414
26,238698.1333738219,252052.46892002234
27,250969.16965584364,196564.9674046501
28,171934.25924925867,186499.8939835944
29,198808.52607833667,332324.38859570224
30,83157.5374176057,59451.41719036129
31,255215.96017012725,139579.9473518005
32,114024.18538284737,255484.48450005267
33,193685.84575481684,161232.45978516838
34,178633.50030276,116897.40055260358
35,263244.8659692657,149215.00901507575
36,216406.66704619396,165119.30285068203
37,333983.65396853734,171205.42168217336
38,137371.19578090188,163788.700726678
39,24184.559941608262,69878.88185761421
40,84515.07659835361,275224.4326349512
41,158965.33386908582,381972.68227493245
42,300490.3949758426,172302.05855716244
43,173686.96199561923,157699.21195208287
44,295714.4259371274,232949.4983157693
45,242796.7962413167,263396.68609650095
46,277718.15282662865,177342.15867812623
47,281400.72226142266,301985.7653677645
48,143957.31969802396,154592.94690752967
49,291065.16436715104,217093.83353378938
50,100905.94845050313,145836.37494435528
51,185013.011981838,277441.3435254118
52,281605.69294416765,177448.5437368278
53,328655.5028254255,200609.3708351317
54,298793.1703185906,170876.43401084436
55,68498.89298754437,208325.9014336625
56,68661.46186525124,241591.74243571275
57,183601.45198076352,339006.7218183805
58,151262.87929243434,267901.7347188739
59,167911.22012516606,383351.1097839986
60,270547.249553093,205770.46618066728
61,158795.9312932663,266831.2277951532
62,210324.97657688186,102846.57572646992
63,268656.93460725376,109532.64013723927
64,296135.7803642622,291404.50897452515
65,79859.59211319112,228336.18275487743
66,286239.7228293802,160195.26302909965
67,178279.41737497773,224775.07272977562
68,225511.98984798754,365223.73486501235
69,229989.3690081939,221793.2814163963
70,243371.3131116061,292796.8278465856
71,270618.44801474607,155611.54764569024
72,242120.45519412804,162240.19892144424
73,229121.83019519373,298423.1994637784
74,242564.7956401614,217310.84360041024
75,346559.18502816174,318947.8047295923
76,78105.09666793846,145290.68545478056
77,126981.65944887741,235336.82288407165
78,279645.39993765997,298900.13382824603
79,267631.8921438998,293563.33129594475
80,276121.1649668153,289963.84438053245
81,112770.98036116298,201382.65339371527
82,125139.08981615452,464301.05617505603
83,183640.4845820766,269296.03102898435
84,205565.81359989705,280045.8439343242
85,229536.00833461902,273478.45233213546
86,183400.17109731922,81138.51536734248
87,175017.20817857588,264365.8443841974
