,TTF0,TTF1,TTF2
0,223151.32601682746,115876.88198176908,229676.8973075391
1,169991.20533124777,266985.7247253548,192953.21076077098
2,243837.98977960864,252518.35087694015,247810.2365219122
3,145210.92158832384,143909.2117299129,233843.22504043498
4,120692.59070382736,232322.98352574112,286077.4926400446
5,335566.2944375836,297075.7129607609,156938.0715597771
6,412386.1819501524,151838.2961268109,243888.02292829548
7,364402.04306250176,271452.9511803808,158950.77828918002
8,214510.98578045552,209832.00695926318,189332.09622889792
9,316862.0830402797,194517.13432514397,290539.55352859315
10,335666.27568923717,96551.55969863749,190587.82924589934
11,219244.65441133207,177960.05119384005,170146.39715155805
12,136184.04204939096,181420.35224814797,237244.55082805338
13,173322.31523320102,211898.71199468238,117843.34527362768
14,421531.1023100406,202830.16551302338,101071.02939295645
15,181335.8222261278,344815.43543162785,162040.6117459563
16,136646.4168231402,223629.91594831832,287036.21470609284
17,105000.30734985536,218165.88261737776,243304.53677492175
18,81612.49702897202,279646.4785349412,225391.53064670775
19,192581.02489536197,366705.60261343804,279392.99979090475
20,152454.39109841877,258576.37915132867,271677.44627020217
21,215021.1162154955,215611.9683297713,239533.29556266312
22,208404.21920895367,193547.12061049772,175202.70829658254
23,364587.54448627366,315640.4288433605,183469.63010533815
24,297594.00305729127,240221.81048630667,90138.26254766028
25,149447.41494078608,220337.7365534864,311484.85374345706
26,278109.30356029654,303780.91962262196,301541.81957627245
27,131098.88816049547,69913.0052768711,184878.81243026728
28,221947.89648742098,276088.92625208583,114326.62265775178
29,241529.3156704648,117923.2709023525,199385.18436362495
30,91541.143007453,196688.7326449684,310443.7000693298
31,199170.98115520156,153121.86433830982,249337.4761253468
32,240267.79100488225,304890.923715982,217535.83074283644
33,276901.3374889148,168794.58383324818,171288.1278616966
34,116999.56042019966,123285.33167551353,231211.94785240106
35,339240.9524226799,402980.1547679467,275088.7090033627
36,173456.6748172476,131110.31098180084,264331.21414347703
37,198577.08933241462,285033.320493881,358128.1116669827
38,97327.61418240551,271873.26984668185,131990.90634494077
