,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7,TTF8,TTF9
0,155592.3072268806,162481.06974027073,136942.8045816183,328994.58603296324,436644.84414974134,93079.18318631189,288195.4374835094,211021.59597601177,277453.23414721387,108996.58510851485
1,297204.2209537534,203408.36178718662,324440.650725318,279659.4702830065,200771.66764376237,200268.80783833843,174614.0656215076,158337.84120535824,229359.11919447518,73995.21706843626
2,231544.44030603336,243163.22327165445,203929.2168002557,262538.0533247163,181630.3494517607,303913.2263822411,207921.7378663876,254356.6149151941,216056.16672208003,103257.68471108438
3,403895.492348855,101695.56900790024,154197.65006401116,221120.29984767898,276014.5773948309,215792.4093545926,281369.88228041946,219299.52449161385,254410.37321298418,206849.3542417999
4,269793.4960813139,195219.3681583909,250587.60305021913,239637.70988040644,279625.5415433217,294518.2883549599,251985.26540680559,172816.4313499023,301367.0852990832,275836.5166192836
5,278872.61017849064,158704.60444453885,326936.8588969393,178654.69416816416,83725.38142884706,148765.2362362675,239592.20215583104,275639.1166934245,154142.849223042,356743.21397987544
6,223613.77052820477,168886.1666356398,369909.2064191244,210291.88807649628,52976.58419041342,129046.80145282265,231519.86916374238,253334.25709848627,107384.82099196824,516751.6541497396
7,301977.66455668537,367615.2902119704,298551.6039150581,333077.4064682371,384692.37572241796,132687.20471197634,390570.95829201385,359878.57959794265,257368.16011093053,240651.76926895397
8,231416.63770675787,151497.22232561122,238341.86903084285,112682.72462894332,177996.47454285144,374620.5492270069,173699.84121241147,175942.4268666035,220977.63695430986,330246.58220738743
9,341322.3171721978,149532.60507049903,277588.8546689765,305159.888669041,153029.98311745212,207064.01035393175,216380.39251534373,357643.30903339514,228731.6681407561,340988.6616404398
10,93326.76519382244,220461.71098126518,233716.8009336975,255621.6411780183,163815.3890330512,241669.415259195,307405.0810163338,119561.82377358734,117169.04602549397,150927.11252261174
11,310483.8275682654,172647.50959143654,205816.61100974225,233779.20711543865,245150.23191325937,283840.82899018703,231816.82420623963,217997.05098572612,243481.99479456642,194386.07338990463
12,141848.23754869317,239793.5085017286,95520.94186262504,182539.0606769175,190795.03470983653,288302.46977116034,187545.90415516408,120330.77959366291,304355.03104233544,133635.52485084318
13,186428.06128275278,208257.56780957757,223907.48767417262,401955.6358121898,208755.83829148253,118262.57900148387,299715.2725257156,125498.63697180382,117243.63421716186,139516.88115335535
14,169381.18784177175,211825.4674570209,274495.69992411253,117117.72180711335,100717.41885834487,122685.52800279598,256918.7924129699,85563.60986234844,115709.71808686329,197777.36748869508
15,199595.3941218359,285732.81301797554,280225.14975133317,227727.97111708144,338949.62364341685,253381.02228298844,320532.94473866926,257835.779983389,89560.46134458718,410182.9331046737
16,398756.7582731842,97493.93283808623,299791.8704717343,162906.9389657894,232568.98326868739,314894.88018629805,334282.19454085006,414029.5675590366,272435.00591607415,185145.778541638
17,271388.77158840396,190947.1498673911,89443.68384240684,288299.5832367664,211647.92516400135,225374.28316439918,115979.44802399511,262177.22436470055,232486.36770799942,281161.8783128367
18,187172.823467844,380656.7957940214,124163.63644242006,121389.1819621344,123897.61877521803,271807.62317654316,261636.79361449106,201712.97492221062,117537.68884518507,197130.67285110027
19,264899.61469639506,276226.29696367925,121450.7435861057,254672.63498406947,157418.8566879131,54626.13840236208,364356.04830162256,83661.92075865698,433557.88259872416,291225.0093177497
20,143617.60927736832,93770.69638932297,152426.6651244606,233552.05588654106,245148.53056293156,434557.5024337043,205951.95969492313,86529.23936482746,229695.87187533244,222344.8410158429
21,92538.85359386752,446723.2910614132,185028.41080909414,220953.6653205779,171551.36307995248,183036.46363417056,151558.07471329963,272062.99561818404,253457.0286143896,308645.58376240253
22,315526.0229852777,234415.32079175246,245079.78906166335,218643.4392447704,223687.9788874022,267911.1781719628,121967.23742230848,89528.46958577055,266057.94399079675,207417.0823687082
23,146197.20733832844,272404.8182892879,290464.4634482309,258892.88246923743,302517.40040478203,44814.765330176604,276626.02872288355,248125.89835677337,401455.42042149056,263398.316404894
24,206114.17365205416,170733.7236105923,288172.8250064389,131646.66683357253,206387.07501069634,178788.3815770562,263507.0345459587,119471.42312922936,270270.316086795,206641.47805437335
25,120267.28966366826,193018.36900497138,337923.2994399037,158102.15193142073,296967.6863977526,115885.69761554585,171371.04582253392,196675.16132862895,101395.80834861728,321985.55818885873
26,201767.52634051425,203389.35679077628,87753.23618518109,171456.24769217253,426549.3013803186,203469.99458297424,164223.16943156224,260932.07167638026,338796.6495608219,300443.5321461268
27,191185.3415766745,398897.3307708816,266045.72790149576,279672.2881640278,192431.2843830035,190937.9520529187,183024.4692203735,219107.15944081714,437527.71331378166,178771.30016600835
28,230190.37440547335,202080.74204360973,105803.59616022077,238047.22762072206,160494.42643734004,258113.31891301228,285327.7910264004,274935.35309948295,101741.70609346643,161848.60856539285
29,527313.7822568729,167115.8867260328,242498.34525837906,319563.11208251666,216129.3992159129,412664.5721656525,237896.25332438434,120264.02949788647,292886.1902113039,241277.66121347234
30,159657.6160773802,229502.27613685757,75840.0669140282,171918.68248237763,300412.40368986985,132328.42661181986,170150.78730657842,195275.57107385885,247903.79526288668,221019.2248791284
31,394616.694482194,260333.5012223439,241998.268730375,160724.5036542081,192627.3657605474,306907.70697667985,205240.08461504834,133758.4596355974,384267.58580848563,296667.2695453948
32,303617.58680170117,237399.2311103766,218447.09661911416,337403.8960435574,89856.53281102111,202744.21800789298,255861.19249334125,202207.0384118846,285120.6136029522,378404.68122137984
