,FFT0,FFT1,FFT2
0,143570.69425279569,35429.72868811781,174670.78735465423
1,124731.98010883377,117405.25173704194,47453.53370257613
2,221966.67336096268,52921.53284727522,144180.27350070496
3,34017.67738345385,100719.75411261499,190437.0846489736
4,109510.40258009928,54941.55092510203,263630.9013229422
5,302495.1172982215,168760.0243981411,153628.4061064696
6,113287.323715292,44745.465612532,243175.2446117164
7,61462.12066985324,243004.3198170856,87734.33822127867
8,130042.75289935214,191191.4690840569,95739.43167414286
9,139310.09293610515,42239.969659685485,228524.52267476937
10,241304.69706414783,86488.08889922891,91236.89075325351
11,50782.91924341649,157791.86623529068,83923.5007975363
12,67389.1807903258,164262.35666967052,92561.082927908
13,48899.662479673556,122759.541554932,98961.2667628618
14,309688.5045876049,191080.69500371037,26799.673281326326
15,89826.17675371596,214344.44792361493,125312.77305002234
16,94803.0222356826,123930.1924674712,129938.32474934174
17,73846.65931575169,136644.63939409464,154569.90091693442
18,48410.790857805645,155237.7256918569,97681.82194585261
19,191358.72854150957,121617.60967084259,227916.90858731634
20,146732.68193783396,215676.11609169096,226889.1593938226
21,121916.0920535728,94010.48508767542,50495.53113489591
22,29999.100808497504,13375.184946094554,144547.7363935228
23,9362.08420317714,251396.74166012372,70387.3781071322
24,141989.08646769103,202389.887105968,75020.47111752124
25,71894.50687765353,135319.25430105,294528.3215214902
26,89809.41071609568,236127.66066054555,46046.90428647979
27,125666.42197772914,30501.164748300183,113056.3928315598
28,126334.02967522263,224557.0863336916,105451.02014708247
29,102062.21041839986,116718.5241837106,67403.3267384177
30,62165.85106846514,59917.55591812832,199466.38738130627
31,187840.6073828315,57064.33303976208,84118.24731252524
32,204847.9272788392,142670.1415469366,24261.625755806766
33,135803.38108807223,89972.20004358057,157812.300910014
34,86904.56281513015,81202.4591413593,144634.90222180422
35,60959.169731513735,192041.20057494697,34427.433059412164
36,152077.67971318105,74733.55692180473,158840.95554167326
37,125856.07873057507,188441.1938809336,263362.68610270333
38,51575.71187333256,224287.68810093863,62125.53107245604
39,148069.51050693094,193897.6930877419,78981.27428602657
40,307777.09616569756,38156.91535077387,20648.973256402696
41,145246.20330815142,88727.08472004085,84080.59009558281
42,78292.21416296787,124517.25246350758,120440.07241884377
43,33883.91501581543,76146.69693317697,281848.8215710584
44,90401.63690622708,283493.3528142001,29528.825787271115
45,73981.2013947759,101336.04589410478,102543.56674280224
46,87270.03697509787,284665.3438838738,81967.65818780924
47,81456.02638752192,185708.34936646433,143802.13027372886
48,64322.73774939957,61642.22673676185,131793.07636971446
49,90757.20414564683,109303.95197146088,201759.10478987015
50,170939.93147534202,126919.55719540143,117427.3162732151
51,82996.40139777494,96604.76444336811,141692.60611619192
52,194666.66828353965,61005.68539685261,192766.24673854545
53,102746.2538220216,94255.9148173906,195313.26538321679
54,93129.00205060851,217378.42308549496,196835.1765645607
55,156477.7136655307,87275.85043101269,68932.10545702981
56,264562.6319943479,86439.02821593462,105702.95344639667
57,39030.24505002801,103927.12993589614,129276.06866042055
58,189257.91625251953,39529.8242671809,35218.90421337952
59,70322.24885055954,160174.87959711396,78959.41874786887
60,71975.14643047708,102879.04727563243,98237.60231181521
61,25643.274914093654,214395.37192844076,187888.2560911125
62,60357.744149234284,232484.22966843998,96311.95152760875
63,126271.84110131365,64538.83242488058,52070.66882107623
64,73577.5822124946,124429.72315758889,180779.3777663485
65,83943.2514333932,226905.00489396148,117820.92114998256
66,65111.82357816043,98978.0636036482,56637.055217035646
67,102219.82686960502,109483.83749347151,175986.46320123743
68,100170.29559658661,153921.8503553194,218471.83038981212
69,110370.76429036584,219042.4114065679,42278.89106398622
70,297771.9976301685,88154.73175135092,135624.85144318215
71,131754.34212141953,100433.80957218913,226541.40708216483
72,119975.85983577119,278183.5373312952,145069.0836680984
73,162546.57463329672,170450.93238385013,120097.46936765387
74,100672.26754784062,233064.46991132974,48204.34428054456
75,74872.44275045044,21552.617387921833,131751.12136943592
76,216120.47751926637,175697.28002882667,62077.34625032199
77,224493.3846911489,252860.81306762103,145673.8843557034
78,74427.32848339214,146376.4631416287,136935.0567717015
79,115754.68940671826,59338.95836402971,40102.20039515466
80,124229.05009284639,246363.1731614424,171556.28024102948
81,110705.08719181342,125929.54760127146,140558.3245502028
82,102294.95634133379,123372.13489950732,108114.26786015645
83,162196.33878731765,53423.47002817805,172971.09174997974
84,174358.345991138,67210.5717446733,6260.465716606785
85,182265.58270232682,163545.11428319197,135593.16016255863
86,72111.12752126677,72711.35050860037,126150.40616402747
87,99081.1000432748,108795.57940710572,106451.84493452539
88,134735.17104989497,207074.90686153414,19764.62562261471
89,89554.3002795629,85797.15508708433,240613.62301421998
90,181838.33865067086,64298.65347186301,118137.97024682057
91,184746.72155390994,237192.0741452035,147955.85218495954
92,235750.5803710265,86530.18338378826,59694.39294948771
93,69896.99785140998,85451.07587600575,114930.29167731313
94,76493.63759450283,170302.09132374352,171610.66259251224
95,200460.43097598295,82472.5772294168,145822.39059206663
96,120944.65789085784,133962.99391919354,211826.31021402302
97,76097.4118071223,104703.75358344814,83949.99262875355
98,42376.77532714576,136053.02015283663,49313.46738510721
99,68025.61346282356,49653.22318265916,164600.86449121736
100,54729.210570461364,68259.59473031556,67053.7795692747
101,256921.62313888423,133234.34945708283,74523.6850658173
102,138241.04889246958,184707.9306796022,158268.57947598727
103,67194.6218776082,90041.2365324784,217989.23344162625
104,257858.29657733723,215021.79056005704,238316.5461994735
105,90177.19024457126,185622.7223357246,145074.1754200104
106,128501.17824318541,100434.55547701681,76508.28919172708
107,153158.6501545538,157158.06950549615,65906.58033065827
108,253728.9049635661,164926.1150108288,294091.9017884314
109,233867.23665309165,243129.352443145,218609.95292643105
110,147676.10166929473,114337.59819728357,39653.16744421601
111,224187.59775625076,156338.23855236516,42469.64383752024
