,Itter,MTTF,ET
0,1,221047.81758051543,0.11224708000008832
1,2,236730.70544764725,0.16879625199726433
2,3,259643.70058686478,0.29270988200005377
3,4,215428.39287032568,0.4013080639997497
4,5,241559.4114188742,0.47788697000214597
5,6,228457.9430464254,0.4737505829980364
6,7,270964.1688506225,0.5589190970022173
7,8,244236.97321417072,0.7777219669987971
8,9,202459.1427566124,0.9405840430008539
9,10,234704.8763510455,0.9081542089988943
10,11,198191.09275897554,1.2651794330013217
11,12,214370.71321511146,1.192785572999128
12,13,222692.73432169366,1.1279878059976909
13,14,240318.27498222128,1.209804736001388
14,15,218327.2910681047,1.3082448919994931
15,16,240827.89631688286,1.5281134030010435
16,17,218449.7903918907,1.5197383080012514
17,18,255753.90332377813,1.9865576140000485
18,19,229633.10021246845,1.7410518350006896
