,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12
0,179099.66828016448,151085.4602695399,204953.62213496576,115305.65712210252,150282.60363205508,101835.07586131283,107082.1657789902,181580.64911336085,157341.26228150082,159317.7239104785,15388.539525451439,99804.18148696687,262991.16865224554
1,116913.45399730316,164033.71891238954,60740.32324690885,188448.4649370254,221670.4909523498,47166.65086223277,198769.1929761377,169655.42569922202,151997.32581118663,149218.34483161182,255677.9170483849,99715.4205270742,94094.43900326426
2,16646.169011990984,95198.43363346998,146742.27966727814,50587.16758583173,64333.51812043878,116634.59965053505,129117.83290541738,249236.01259260473,224733.88978066028,120132.91101909925,60188.07899283673,64931.87890422933,105826.6039695793
3,68501.06692633034,120685.12268403989,72643.16403009581,91515.0372113804,65883.87654597248,163164.41714304758,50295.73527892051,97431.42246950332,122706.32025984832,114427.57843941612,73177.27894853138,108908.34151387926,120770.67616987778
4,50189.509505341484,56036.12588539256,97733.28605384286,125512.23506710435,101013.69422302902,210776.78718509703,74025.66942488436,107968.75931974001,181171.06786734253,152920.49415047158,96691.05106336383,210532.1676612376,110488.96888979732
5,83858.36250970504,154544.1716861029,119817.26321565428,37651.3606710238,233729.9420941947,138056.20854654827,166361.71072587234,146629.6538280966,152954.5190363722,153547.30921655791,237111.07687291523,133740.2453462364,175435.70311324176
6,153771.32347107312,125770.86224894747,57726.414396131724,180575.71705655433,68311.92553904446,52330.45739443685,92585.14854958354,106479.15476925677,81335.04158137305,86590.51142132455,301556.7186816126,83918.34699273434,83554.87437900668
7,78843.29799494699,146425.92837599455,79756.68392596775,74414.30351794769,168204.3572100064,123492.52331710102,140460.45261841032,18397.110356594083,121204.14119434984,121277.29038558807,48899.28002065556,156371.33896592955,240357.30419634903
8,50745.246317123434,102529.31897662627,72398.27442830575,183013.04945656122,164622.70817761272,36601.96465429451,118020.55758675083,219415.8982322836,53102.19656650638,85892.97243945251,36880.135788693064,65838.09956363261,43313.70350341476
9,199034.9949745486,176710.13431694522,228860.84320257377,140855.2929111647,143246.94429632413,33736.28203424499,41015.82419052356,258042.55676061366,126345.83755059086,15423.580943155413,112012.50620969571,134627.13114861463,201391.63690824935
