,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7,TTF8,TTF9,TTF10,TTF11,TTF12
0,364360.8186534383,157693.92545227625,293722.5541751892,123047.49589323303,282167.9025787549,128784.59627260901,148300.720405191,394002.82930616324,180516.77123909615,265047.76811992447,103049.11219994712,148332.1405828037,301545.7091091878
1,155540.12890220532,209763.75218604296,95094.26288980947,247914.76138493052,289044.15966512193,166497.7631101418,327485.34100024303,246845.39041059764,176045.96417105428,251965.13310943774,255839.47823924394,164881.19741822456,176970.9996589725
2,332751.71086085157,140447.5687416144,304957.21435566945,221093.67572612915,325250.64585911593,133218.95134118837,205740.0062441043,273154.2755894698,234277.74946017587,165766.90624964223,169564.21673714113,206442.6049440054,140727.31035430875
3,95039.84890585994,382708.5778701575,317071.7195613865,142925.238680893,97678.15482876038,338684.2946313268,267921.4673044117,144235.8589607098,201997.51372059685,165544.90162101793,159912.34708439992,193502.00937089027,216712.98969225714
4,162270.62112358477,222132.82858000387,303299.27903018496,179998.73424747447,119985.13937746942,265140.66099884943,147977.31477932393,151275.34636691783,298833.4549009658,210655.82953037604,188601.71094559063,245024.19123289708,274332.71048014524
5,155533.46489864582,342290.34676606033,146030.7658032782,56976.08052074181,240112.5074813352,157559.26240014395,220814.69842241408,269627.251968691,191983.9872910898,303632.5195593168,239759.692409218,157083.16988591716,342044.65911419096
6,236053.2766000023,188113.98061243843,126450.56061756925,252980.89636717044,235086.09840252358,192674.05683712917,139494.02923262602,142833.52587886358,249179.67983731197,161828.00441028373,332512.28990045417,214334.28786892572,110006.16215843092
7,195230.23127847206,153116.16462180318,214533.91851189488,101893.86141357828,219573.99351629696,264669.18805451825,239351.03442901847,179243.37682682456,352937.0962670934,225624.31295037264,136888.66498381813,313664.7076258649,348402.09817581414
8,218657.5747262709,198942.92188691098,183585.23303805053,302252.8855494246,285288.3067178418,150165.21917919314,350189.32364832016,267627.6914450878,208569.6018132698,139383.93959975283,209648.9711847951,119484.4282799088,135913.55828146718
9,285754.7725983142,324276.8537976058,327765.8069745448,169350.64151516528,201859.65393399552,299552.8746263616,64870.0223043039,324591.55636484036,163519.12881045023,292138.6970009953,146464.074391071,258170.04796536843,251992.66042402515
10,277914.8024442867,300780.8942290542,246756.3076933963,247424.5661280636,204330.44532264007,281958.9030746169,154441.00268339925,147169.7548874009,54815.682618930616,238079.06307539443,141179.35910072376,101812.44100915689,132213.46272754075
11,146423.70325414662,155733.33611408554,202489.19476225597,190008.76466465244,275677.4835983247,131894.30168224074,138468.46331807505,152688.0055213989,100664.86288154166,208237.8706390148,316535.0658694743,241147.74358558684,226258.50829048373
12,123091.11013468298,278801.3098496734,200176.62117747203,169930.08856878467,76537.54607939086,109737.93179550327,288070.16840967495,191626.0232888551,190277.97385729587,136784.68642367842,269477.7253354303,93150.62991926222,167483.46486785894
13,270990.0793523502,129390.00466196514,312751.9498742012,165907.71977354123,141103.44143876573,202879.93805763347,144462.24373406178,134785.20241577356,123799.03221161792,327802.14186971454,253814.93354370625,146694.8102354559,134321.9407874038
14,202205.79419160556,345323.21064388036,252989.5140149009,306751.28838050866,298895.7318819025,253071.14193086288,122603.20302911646,197295.3590057711,281973.882542868,307424.1998104617,224925.95592695108,174410.64626313647,361422.6413340744
15,37982.55378021203,255839.91238839377,221764.38693480642,337828.5096882737,297142.2883145175,399306.5809802471,178819.11989189277,75579.20976360404,193038.38913807122,365065.4568233906,222832.79123177702,77620.5766890151,131505.44517566307
16,199825.68938369228,243744.7008907473,288810.5016104873,353403.86958126025,231141.75439041862,282745.2102557942,323302.5784150646,127507.95773813679,91472.6321194888,265327.601853945,251945.0090448026,137784.85386336665,403761.07663669134
17,205717.79376251376,145187.6632700238,220170.40494412495,190476.760880501,213944.54810369783,334575.5259453111,137924.82092119544,202503.3015857302,240312.73228994943,233753.68263330267,148607.28079093684,345751.10155061283,197956.78234528552
18,200480.03976980687,209411.81086805777,149903.62769795104,120999.06972715475,170112.13888661194,188389.0018301473,113718.42522433368,223791.3653619328,172379.32844295894,108208.4798363493,127570.52515979642,283053.4188690266,264218.36320069194
19,191345.25569589884,153698.57520881426,167320.13713020168,90636.71290836338,361885.3281426614,178689.1140066987,236644.68031354065,286465.81501559424,172690.8322535466,391990.64765187306,138888.24971465758,172806.01893171103,118523.06280531603
20,375997.4453865553,203622.74454139062,254256.89108557443,262630.7270514231,260462.98036822738,264225.4556874492,168998.6788103824,269456.4154599291,261841.1767535694,215838.68623430873,235049.0358450464,142693.02163144178,243980.786674275
21,257726.17307475128,248817.7270738847,332730.0524775627,232029.36641174144,104152.11935427634,273963.6370319732,220554.5950627341,191534.3860260705,148847.06742351557,182869.0801271382,279461.0627423142,466922.78337986756,308752.36884030513
22,240692.39164323112,185323.07375532313,74857.52388922655,311954.10630932776,302641.71081597044,194761.90254786855,273218.44022852555,378696.6411062521,122525.9969086473,177334.01234755298,154997.6545377454,152860.82363875542,486967.445416787
23,142664.98820343483,221894.82395025913,187195.46367575,224454.30167151705,314028.9045208071,290827.2634550067,205276.2407020119,248519.3452420952,285552.76345992205,209188.89057002217,243064.70516517703,110327.59489313215,394056.16493431065
24,74465.38011103625,261789.9281545885,388421.30906237883,145879.21079943058,340182.82361812494,139943.76787278548,214138.41807791937,324756.8211580997,159863.97561110178,118765.16425475142,326851.8993260958,180003.5744775984,331035.65478194284
25,233161.37365671393,119720.00082936876,161972.3699443498,125253.883059377,218897.44573824055,251422.77959427852,299037.5280282237,361820.23092755396,197735.3758142789,181380.460012706,135275.9431123807,235868.42254835457,230712.69617027184
26,236030.13952178537,183076.74074769372,167287.25982595183,256248.19394369624,231793.81846575905,402483.5008073773,286552.60741629667,308780.02149886923,164923.9004027952,260931.71371887557,245751.085617487,195084.72521127886,239863.8646853774
27,330668.3850680207,201570.5260426253,289695.0221819368,269724.2624406451,250259.9746043131,250068.63748796927,133456.48478225415,178603.06046519807,226656.11071886966,213292.47871826537,256032.94091021887,143067.12664550444,307728.4171169776
28,298491.92728363106,195890.98859123685,196726.97768263836,316715.3630627612,181202.04429611267,259949.8837221958,182876.3597250003,141223.13384324068,359521.0025391378,254171.34286885,249791.01819878523,176269.0453859635,229165.08632916704
29,331146.6284603457,320596.1647570324,144885.16355566023,382307.526463955,172804.08121275928,205008.58640387512,303026.8575532278,178931.52592547506,170385.94407980263,198843.93671811643,379321.24957377365,260245.9361230808,256164.14709915814
30,359397.5649815297,267799.0625205991,165491.0354780261,154547.254220463,245953.67055309837,121519.85869214578,233463.81328256716,294636.6937726076,192824.70827632258,314980.79546886263,183543.37200362585,235182.97551386515,161048.55426409084
