,ttf0,fft0,ttf1,fft1,ttf2,fft2
0,165105.71256301136,109327.63370531771,165658.06844406656,75702.12218953612,388288.32551586453,255822.4562472691
1,262968.4579188145,215369.42641422877,241079.0259555188,49298.12144457295,214842.8152626445,105994.64434132713
2,263201.0938224022,141394.06830790368,408255.21914383,302437.37407053984,366647.6923739634,258123.2902567655
3,245958.83718455196,171029.80599513307,200966.0537695611,63268.27852897094,306407.5945575525,199013.9581412954
4,272621.8673011651,246893.1950423382,196243.43868548342,65818.71256754088,150036.7418064911,144490.3582618828
5,231593.60993666467,206823.26063103013,119359.14670971336,105737.83047202569,257351.01203795348,116596.77489597553
6,50725.59192394861,27458.562576503944,224696.6637079375,138256.81853870736,269403.60095370794,188558.28163852272
7,247062.94239244508,71304.23215570461,446952.01472070307,117443.09776149683,267940.0382193797,251224.6437426707
8,234511.4835104877,132818.71958747905,104192.74312332114,33341.74806535602,253837.72816630802,189621.61740030377
9,180471.6495579678,113670.80525248071,186952.33775179807,105417.18766404643,192404.70167657582,76212.90679614148
10,215328.67097005545,99665.44091244254,235368.3946307444,186127.12068212067,320457.34264710895,44214.08915201648
11,165914.85944169757,87393.79900313466,222328.84302829643,169788.2539876623,265831.8577678603,218459.55385677822
12,377412.7824143063,255321.25431870538,305151.3073363431,60993.666123950126,192347.95092632642,15797.353608175676
13,131896.70636427458,104375.88843623667,227961.07435858992,117059.469019948,178734.31115994754,117073.66407706992
14,331194.8255213203,179910.5033966359,254303.17975382335,67559.37815158686,285664.4617695918,146821.93537913612
15,216196.27522750257,95520.02100750429,206311.96326981293,50172.8117688322,54842.13329583321,24556.173797525997
16,223446.8185801551,175441.94135395117,221023.2031891535,95390.22028673821,241905.21300471626,144912.57174668935
17,136384.224205177,38399.25027681716,270126.7642907597,44462.10731269194,280327.20076886367,231302.5958121154
18,145378.8440368961,120302.80225361542,272769.6891593406,225594.44106066745,246812.19165754775,121626.95080895755
19,286792.23407429387,245985.27092850444,234146.5979786119,213904.81572566868,197812.97631460236,71971.21769057626
20,271638.45068089606,205946.19434172157,157474.21936607975,7243.547844815933,340829.1373768229,82126.02573269073
21,288957.94520674215,151521.72983662723,186853.54562853236,77899.81556296161,170777.0098777893,79612.44907829628
22,216644.7018582724,91511.09890342916,137051.28527348072,99302.38346838765,364205.16603813367,265195.3707497776
23,171085.3038739323,79660.27888834634,121067.78121818167,111083.43770751741,235784.0233826928,208091.19421312865
24,141653.699792833,98418.1323018744,358035.6023285341,283207.95579712384,90094.02325580014,86520.96529993149
25,326483.0377710025,62292.98684213929,222832.0352818191,58292.70128767003,182981.09848556656,51707.290606981565
26,206332.41000117693,188862.8060585104,171146.24112295886,129725.38738376339,137099.0068289996,136241.20815189954
27,275556.2215938319,47920.80878677536,189036.18899027037,188221.2214972649,181671.2848304019,64807.4115849148
28,280147.9140799321,136662.2563437344,288353.0137024312,213958.293586057,286178.09755568544,76700.39546599126
29,250582.86934644624,210335.36311901794,167178.4402170636,116076.62625419095,469924.68126267433,84432.47033161188
30,228801.76720941067,159335.41793423067,316776.5112728709,150500.20205074875,170868.68769315627,156214.05926747184
31,105538.55621133384,66137.02084669139,174910.60776701313,112200.0831312769,199829.09508493202,84557.58588201535
32,256314.6688652098,188313.88776831416,313511.4429836059,185877.90135114157,230075.74797959568,166107.686068131
33,333675.8413279482,282053.8080118996,292139.7901395291,110659.7278922254,244736.59961049416,125384.7500431872
34,328400.98083313205,219012.70858534257,132385.8817236682,63702.62393671925,234780.11436210107,71445.41047481133
35,142183.46281573782,103379.61003560686,400411.5204839093,139324.4938587059,213631.37783133975,57282.67026997756
36,246402.88633069082,192363.4881263159,143199.283155129,104654.63373802966,134245.80376137773,85577.66085845942
