,ttf0,fft0,ttf1,fft1,ttf2,fft2
0,235661.41572755572,93669.0797506494,185508.2387336801,78138.21731019329,145395.6049691743,79897.73436528903
1,502445.48961870774,281969.81558838306,182828.04643635318,100918.93209670954,360166.350787316,226606.73152112306
2,235797.9928547854,222607.3713066315,90456.59321996187,84285.53738521459,180461.08407624546,174991.4159661628
3,196647.56046915404,135685.24317616032,192611.95181815146,67912.85728233393,196991.4729092627,91592.94427023256
4,311946.49231351283,218077.58671561448,278753.8137811463,116575.28333856232,375863.06939236494,260507.57710040009
5,391653.73330440593,230750.0085231586,141478.1949878894,138322.6630072226,220840.61239768946,193703.7963770009
6,224827.00629025698,85267.04592222569,281825.83319921274,237444.9881749435,226557.46051542214,215240.3346394097
7,188827.64036221884,145997.6202188627,200534.4882229783,161100.42536215874,129671.11770838115,115939.40317383385
8,59729.31207781951,41755.3826027637,160177.7035752086,104100.81624104027,242168.67610778604,162647.00794010167
9,367766.5427066834,165217.7780937106,165937.61748679882,98169.6628765834,129726.55363253158,107000.35185488133
10,221794.64775413802,61361.78955871656,212778.47543645537,112488.74553174125,320844.8416005036,231979.0223769935
11,325339.2607088083,250577.67669583706,132668.15257834256,56545.250859424916,138679.59535440287,92422.12831912367
12,268721.29564455047,111238.82069947995,126291.63294821717,83178.87027288598,318408.4433121162,197338.6329034666
13,279046.95833398815,239156.66499712924,164376.16531370062,97294.30624692241,278867.58709167456,135741.4311369714
14,172176.1702609326,86926.2132780887,151391.46584195405,138537.47609257794,202265.3750817624,144646.84001217206
15,314359.2408816607,160491.94150064245,342742.34995890135,238542.71961963188,245435.5932028649,227464.83700561704
16,206317.98184491057,157211.72358577163,259205.89997660552,112476.45323992422,209153.4757887108,208092.1299195941
17,185435.90757490916,174078.6768277464,163663.99214472232,55057.837164622,199166.5994841687,112693.77683142199
18,258339.1385275755,38687.16354913334,202758.78877541248,171816.56420817884,359832.83591063437,249115.19639728643
19,137245.736357209,31742.203880798832,364346.97605644586,285723.75406927837,76480.24867402887,36425.27761392883
20,165088.3223568907,126358.30405939255,170294.84263994475,161518.24170852997,130561.0111078665,108732.00925797793
21,213123.82491447404,207399.02614153855,91190.38334484468,54358.49698352459,355835.2821845615,247290.1228939478
22,208799.40997935703,133117.65678386085,170064.4079954501,167954.66807095442,136434.02355121315,66537.10853287613
23,341250.6067431889,124196.01107116157,372827.8941798976,253233.41172748693,139033.58099732443,48417.83313321472
24,258750.8362966789,137047.654022056,524130.3352993003,233650.29393439606,296656.3391440329,174065.3377315326
25,144509.36326110305,84719.13587288847,327490.980851194,224476.22308540708,101078.19443098907,39851.43334015404
26,198727.66608528778,94119.77360203076,280138.98215469014,187810.6725908832,161633.7250821501,34116.335351551556
27,166949.13717008545,12764.782214739822,157233.99869606685,94703.05398694609,539325.5007146493,99712.73301162999
28,179678.64169162879,87997.93922913488,180116.453179113,158192.90605205958,155234.25839673678,137770.56447089906
29,156334.98140178266,95464.78266829657,118408.55003597296,59922.03579043197,310554.0730819239,28314.494525655202
30,228010.7102088659,105640.7652990143,172479.94915864954,170005.72054895406,431881.1571507078,80373.9399328756
31,330571.60952825495,72769.72706290483,136621.79826052894,110737.3596028083,191007.95440519936,141091.5489469747
32,127421.55897184131,98478.59616312441,99636.88964108407,87952.69736668632,124970.82447251216,117448.75935434471
33,302799.55517973634,119158.19576126564,242209.0922102885,168481.42805208225,261296.90404767718,52789.20600202634
34,346987.86516572995,231142.85673500475,276561.68813875096,128248.64935051532,170244.2672138671,48007.67434867919
35,302508.52503229154,234999.8284934107,373751.6152084493,149820.0169343094,260064.54527073662,213833.72387746233
36,414791.23451453587,201559.13839875723,388407.5706099685,65518.10335114863,128294.28202092362,101663.75836628082
37,123564.0162016598,82306.42553108279,279230.7985580941,157035.59124427737,117961.09376823006,90322.03346044992
38,258658.8639822607,167106.91842162944,141339.5014797859,67916.42230952304,296795.0702553283,146073.1625537094
39,422352.89256458334,120068.30974792154,262386.92027134506,230701.95527358484,189498.3059641618,84781.35576556613
40,136986.69052351665,119159.62711176717,109777.5205148035,103732.5844926476,215964.43257474183,114424.36235210503
41,159844.93239134087,58607.031230726214,367825.4639328915,80968.06626690262,339395.0585805509,59943.560749753306
42,216607.03899279656,133514.58240231115,242838.2650821132,46909.3326380118,150425.07511479332,119997.62234288114
43,231478.71458398897,17437.369665918763,184760.5829032199,160908.6577712584,235606.45262782415,84671.63713678559
44,243511.70553627002,216385.3485120766,117204.80017835267,108638.9510563856,247681.36096147622,166831.20675204764
45,214640.85745489702,126715.40767139077,318324.35433862533,270421.97769019724,199281.978343046,196187.9026780824
46,206347.07980680652,98981.48451772158,207311.0862890695,65698.99961717195,195305.81927181804,124763.18081513082
47,234877.08555313165,115504.03580412261,186886.3085040008,41881.670330193614,350460.3243328651,70316.09492965254
48,262382.6255973666,260653.09022090587,159565.89363370585,155224.6219562496,90974.6094978975,42551.13607070668
49,206464.1931763094,56514.07458780567,256362.98455667816,185417.80929694723,139173.49287937858,88458.24743499738
50,273749.627347328,121240.46912450202,128355.14233622121,81769.19932491008,179490.2192858627,155787.8385594011
51,203335.95165819002,181571.99068740173,153924.05186072958,148365.46143191797,400733.48395172204,304358.9989958407
52,181562.85889387608,53144.95024606015,277552.2643603948,156056.77233166524,218495.7942372402,138798.20496248326
53,211883.4002267639,169881.06295026725,279082.4857159233,127519.76727203141,255110.2650601489,232830.53287400826
54,164493.23639914708,49597.94294385508,276977.1240422875,55518.73061680918,199962.89181087344,72306.36028778703
55,245600.8105323705,151134.04958400977,177581.31654976562,128739.09092084118,226549.13125868153,74841.38326698994
56,364375.8423948834,267501.5237751204,416498.8088624079,209427.8612831111,278467.5757261963,142640.92430745054
57,159810.53817626115,87427.8203392555,283148.16383788176,142064.3188452697,274174.81192909443,138779.09016131161
58,105711.56056059642,82317.0603762092,259400.80813058937,91054.38427994838,248342.195083499,108267.73069518963
59,183397.02219254003,58236.10120086506,235896.56497964158,33073.15261463377,239233.9141751183,159396.72722586824
60,235709.45304234023,155018.25774371493,109618.23136019593,104351.37345271037,173767.3615911373,128708.20429446678
61,469474.2534601415,241015.82312882863,165126.76560054463,99993.43622589973,126526.14110836243,67120.43725527156
