,0
0,301862.25047774625
1,473296.71898201905
2,350736.0621199512
3,403129.68816093577
4,322037.96533845493
5,331432.8008674012
6,278901.6879498875
7,244305.70530627214
8,297827.84041790897
9,360305.00292236265
10,246803.26866851482
11,285164.91907194623
12,326354.4801478013
13,315747.74715788447
14,312303.9418277588
15,221535.3794567739
16,230112.4343346436
17,310137.9204804874
18,220107.38057461134
19,271865.9801608138
20,352282.0870615941
21,440183.3426354756
22,348752.8100012078
23,240847.21617057425
24,319905.91185156506
25,393754.7753329005
26,331579.34857875004
27,329779.41112916614
28,398430.37624380004
29,283361.6885646973
30,198224.9520408299
31,367594.1133809958
32,315021.6997252952
33,282929.5455391589
34,249951.47134855247
35,371276.585811454
36,377182.69262526825
37,344028.5601875608
38,222258.92229327708
39,312359.22271881666
40,241071.21287680845
41,229815.81438437186
42,223807.45633878867
43,219330.96050294294
44,196998.97882473015
45,223781.61989512763
46,330902.3926011445
47,313490.4250633792
48,255129.57138663164
49,323953.24504554016
