,0
0,47990.578281236485
1,56695.16721225304
2,85275.23824873158
3,63924.51090454587
4,106494.92782100574
5,31284.081384795034
6,52012.904934258426
7,98237.20643559478
8,48911.275926993505
9,72335.53908376597
10,64636.25044871948
11,39446.88595538252
12,32818.621683056714
13,81646.96292998455
14,35159.136175807515
15,53970.94711338208
16,40851.76706677232
17,89690.3454768872
18,81282.70361974998
19,76728.66928970978
20,111712.78182705058
21,119278.91234029116
22,42129.066631657886
23,63684.73727059238
24,31164.912561342993
25,72332.25706065504
26,46263.87497421081
27,55528.517180811425
28,39143.31201048331
29,36426.3105778328
30,71636.36593161047
31,76981.32941837687
32,115238.48221583008
33,57478.26743077276
34,84215.36263738933
35,53827.96673064292
36,59767.809953826974
37,25845.788769215513
38,35452.81590777867
39,46679.459788120585
40,41259.988309996945
41,38136.37678527072
42,47752.57543170263
43,79723.70115407315
44,55424.65859525297
45,70987.67204733746
46,54808.90092564776
47,77520.95128314309
48,28697.585462683353
49,43946.760651914294
50,70430.16773844273
51,60297.030776921354
52,64480.75063027801
53,87234.84250408733
54,101200.90337860488
55,126097.78664252198
56,79826.34324573983
57,91075.40328402906
58,58257.52798578468
59,79046.81370908601
60,55343.08935734632
61,58845.481512842394
62,82843.9707023004
63,35451.80227035082
64,52451.946964406015
65,66871.69167783346
66,51624.46886085261
67,97423.63590679318
68,29554.03469211806
69,46766.89078506514
70,53979.411963396604
71,44669.93175716432
72,55954.30722929348
73,39710.712246238836
74,121054.8288913237
75,53759.330325118215
76,82605.20635524577
77,109910.5901002194
78,45684.874118345324
79,36050.44694207768
80,90788.05832593581
81,40847.05532573948
82,86502.21143693631
83,33481.44191607495
84,31885.637080776898
85,62545.211931344216
86,103034.52835355538
87,36662.66595523535
88,47140.05692242997
89,86878.67183435448
90,52008.681630974745
91,87881.58233171367
92,72971.94318182374
93,58045.61358696743
94,18417.412018226
95,46637.24287961288
96,38916.02411317787
97,46297.30502140061
98,53051.1530448468
99,37171.86220783643
100,35188.33291569138
101,29605.749928283993
102,90237.01928962224
103,29367.046757294003
104,37146.63270667683
105,42543.84134589735
106,128990.3690341579
107,68373.79216396008
108,30150.49621964246
109,74960.48924196821
110,74505.97198621987
111,71067.88943359476
112,60803.398960468185
113,40728.14040616665
114,68037.4608016672
115,62768.27042778806
116,36901.4267861605
117,54477.23432523042
118,61022.27169560331
119,107229.56414326906
120,44118.75609584818
121,30726.543998602556
122,31140.377839162462
123,48209.716846906085
124,51530.16280752242
125,96633.89552278178
126,44400.67715569571
127,87685.95987736777
128,29999.242727796027
129,43048.179972906466
130,35851.622935788735
131,39350.31018771567
132,58151.1393325477
133,96657.17953208351
134,75825.82460745805
135,118883.9938856868
136,62706.78447100507
137,105638.64008092412
138,40307.49537782519
139,78462.00050593619
140,30120.78072514749
141,58104.96189333434
142,64434.55033050648
143,70062.60365149683
144,53446.77968635583
145,53809.15948838748
146,24645.07431077135
147,56379.078571189995
148,36504.22795458571
149,40534.84762671047
150,32774.88744166254
151,33153.531475337804
152,32634.95669981417
153,130175.70717379925
154,38391.33395246124
155,59889.88834233812
156,40695.95318335688
157,67104.51385094994
158,33363.94228118358
159,58132.33701283571
160,58849.70488645386
161,39080.51799355664
162,57335.4124020967
163,29257.131753603484
164,30236.13847129523
165,62911.69030847243
166,44735.250070969996
167,52680.47014856585
168,47986.1622483135
169,25190.746193785675
170,45535.547535511774
171,90188.7028445572
172,41484.652678721264
173,43068.2538642908
174,104491.74406438015
175,89706.23933343377
176,76877.09704379334
177,73396.24805657349
178,96897.21188331454
179,38521.81212435502
180,35537.29626268905
181,118450.00541408957
182,38993.57578594264
183,90583.07936245472
184,83469.97771794882
185,101184.257452939
186,38173.346123683805
187,54423.08438430681
188,96700.60243836754
189,79849.84860968904
190,64605.40558131938
191,62912.39853545002
192,98519.80687663189
193,48503.437873017145
194,19575.25219374766
195,59586.066608551715
196,95064.18858140115
197,77003.66291565464
198,55268.9968360222
199,52861.236952606574
200,64896.12983844406
201,48271.95220109697
202,53007.107909661965
203,48551.95945459773
204,71899.2199353092
205,98102.84546713936
206,31984.06460796565
207,38794.3844763701
208,98626.90570632658
209,68594.47819243305
210,44187.836792799615
211,79892.89256598578
212,68911.5925486213
213,62677.63657754169
214,111309.35001194206
215,88243.82886503388
216,50159.791918353556
217,51143.51196784602
218,85506.74716070155
219,92755.79155677407
220,128685.97253788935
221,49485.45100239736
222,31886.839734546156
223,55080.55679621006
224,64597.724486413455
225,45658.24516947307
226,106537.50522513365
227,50056.101782453276
228,72529.64522456632
229,57997.06016345706
230,42788.21506831816
231,79649.00868354781
232,47086.29903227967
233,49778.705257083486
234,38155.50406879459
235,32005.671921084235
236,89237.60828329847
237,59012.83675934815
238,52280.84777089886
239,84081.4909013047
240,43694.332525702746
241,65528.86509804224
242,90029.64144661502
243,64746.10952307221
244,50811.81277640278
245,91331.27155347119
246,60430.29916282434
247,39594.45498023146
248,132248.424685106
249,82244.52931693947
250,53251.064623993065
251,65146.38515046952
252,26056.099572151295
253,123593.20908886139
254,81980.78006515198
255,68399.19392143053
256,44824.67987414678
257,36761.52102223566
258,47901.9820502344
259,36091.138200423076
260,71649.66073117814
261,92949.9463847455
262,66037.34517705394
263,45052.627179902884
264,45569.194729823816
265,94853.61873663263
266,50666.0632535075
267,78241.48612668805
268,28035.880543395167
269,44901.021185448335
270,55202.783037245375
271,59899.38948771657
272,45324.522811896815
273,79032.26629703735
274,46712.41410971631
275,139367.9743860994
276,80263.36243495066
277,53755.126167767216
278,99992.30432319714
279,65900.1638112449
280,66633.95663195394
281,63674.07613774335
282,71652.49529080142
