,TTF5,TTF6,TTF7
0,138399.17735861806,89317.73369757706,172480.24914019206
1,72797.36133713124,110054.65698373441,94771.79104651613
2,102552.6702452423,101031.88046944956,146675.80862381659
3,131528.17991787213,128694.68997692551,185882.95288007264
4,131043.01984316549,182882.25319169136,173760.58851235075
5,142142.00110985554,121995.24235421667,114896.76783157595
6,69127.78503972474,113002.8302820149,117117.02644434587
7,120113.50921056037,112478.9283236196,123434.37087102838
8,115259.66768969384,119972.72825062092,180777.06842252595
9,81192.78247584125,89951.28900685241,164704.01004006813
10,124812.8877533004,126018.83121320048,147603.6767887229
11,137852.12758627604,106172.95184304078,129278.92977351342
12,128453.27769217634,108971.74424763172,160139.72424389148
13,127789.00561909896,169730.34688181183,89949.90411827309
14,140290.80098111925,108688.70715401958,139384.51366371487
15,129549.30010398536,112034.3612695612,132065.1856690675
16,117514.21050559581,162982.64735437935,160793.19256795652
17,117521.00381404205,145329.9974044564,137860.11508042563
18,136798.54476406012,133947.06630345213,176799.38841804813
19,153652.6582311741,124513.88988978024,109629.14551135173
20,121053.30215965176,91325.8208942864,180142.69099488488
21,142895.08687649187,118162.27079286969,124716.49413497883
22,98876.5172628301,167805.2593894787,205689.46652733698
23,120447.03295624309,97520.99847422945,119104.06283627536
24,157339.00865390603,168347.9633186388,116201.15740419821
25,163731.68248218475,144055.09611591895,132376.7663921857
26,174722.67553720257,145541.4493172378,114062.89372624758
27,156248.42335893473,151297.02890011016,121306.63538538599
28,162054.36662525783,122341.01121951808,121268.71622741841
29,139124.5067127104,87774.96436175678,112406.09612260503
30,127593.3593950991,96599.27318027837,128945.7877847443
31,112792.75291906104,152435.33685865067,95058.43784304669
32,128862.32895208048,130663.81863342978,161074.82132853736
33,144543.86900293134,185092.41805478802,181637.50114908064
34,155940.9154526669,128730.21840016257,113416.86847506987
35,138208.12671706863,159690.09020320023,113966.78541921552
36,131447.21639155014,140374.73705105414,125236.3697673696
37,81583.9898701376,131559.29446339715,148261.3566430505
38,143981.9011432554,60337.086000772695,168070.71815155516
39,126471.76374735478,97584.93721989401,114900.13494907829
40,118083.21740957898,146043.74402338002,109076.67149010395
41,116058.3165334397,132325.9621748062,153541.7123146932
42,98034.07549459333,85672.87324224979,136579.29689357293
43,171166.58778266973,122153.51263007006,131121.63265535596
44,62082.47008986911,91839.48956540939,154067.77941138195
45,120677.25333369752,155532.22924828064,128756.96769504306
46,99340.42966997606,123572.15448601947,184018.53683900816
47,149477.3969588434,142827.24532478733,87245.51225810185
48,94712.98947412644,86146.05413011592,122985.59985026445
49,162182.86688747356,100390.15116656732,75247.85021092268
50,168333.70786158484,166141.56034923662,89799.54044243497
51,120883.78073379773,143252.81567435403,141393.9285692561
52,169020.17724575574,111124.14234341486,160655.23726702196
53,127267.89886925291,118450.75037566491,121546.70668177116
54,120015.86290329523,176661.8123870328,153329.0127854861
55,108918.70384709528,116201.71659449792,102006.17218184765
56,97766.18087537597,146873.51545320137,146288.51134510568
57,133766.2655143511,103587.29512502362,137681.46264739984
58,166841.83440072933,126409.55140173354,120831.06095597048
59,110521.5876386034,140645.9300092199,114312.02945350137
60,159822.82304188237,116423.78223755502,150551.38056497427
61,116410.97724622392,93446.47831884612,151795.01441487967
62,121661.98527723402,102484.06658421137,155021.45606407057
63,113451.99697500939,85399.32695900186,128733.71836136424
64,129130.4339071782,148818.12218567345,120473.51829045861
65,156998.47110687674,158001.57800222287,121035.99796886886
66,110006.22976714032,66064.62823238006,138737.83235746657
67,159901.92618823,130608.56098009183,129758.5902758696
68,74319.96990572396,97893.62267155711,127154.06297693407
69,99561.27201565958,127735.03172921119,123786.11224653627
70,70062.0981638502,134223.84268943156,98972.9093523437
71,78930.0945262406,175563.01264244848,118298.14112517776
72,89025.84267412817,73372.2628080206,114853.4752305129
73,155043.24802543,164409.8557295209,116107.22127883394
74,108362.4323122903,141566.85356527925,106759.0047688185
75,150488.99488957523,111586.2110245933,132464.38927133704
76,113789.04199348486,147085.98966470413,123717.9569642011
77,141683.94055420114,134690.04931561448,155222.8043457034
78,137436.3606040165,116265.05351104344,118248.37637197731
79,146616.60944063315,125708.44591494481,97963.9414350921
80,121897.05346186386,206455.57786274038,121095.75144647139
81,132201.7138485073,182037.82535191483,151121.88173614704
82,196891.166882361,110989.16906431573,139386.85505457394
83,94310.48828061557,146870.6519378979,135631.38842917755
84,129274.25609118368,62385.033715814854,112274.96930269875
85,109375.88882696701,132509.2207921303,149982.60831812077
86,115577.33052686263,147194.3037804501,152475.93601917624
87,112732.34347982671,70015.36709699921,105092.81206861447
88,135773.2024894348,147997.00393898567,120262.7385432206
89,167208.81269058367,100028.91351662298,121884.00814870215
90,107977.93956315525,146734.95025610793,164643.2623420669
91,130657.82993566369,105122.05847274727,106939.20163870233
92,120404.18607983571,160058.69195692835,101862.73309101199
93,144929.9264961601,131977.86825531026,140735.37899732112
94,126137.33401525524,190750.6423823757,137818.1348823764
95,148194.6306664035,118961.18508892966,93616.94358260714
96,147829.84158288818,116248.14666559249,136144.66120656257
97,86300.88117102912,92308.07939640271,133750.4039572979
98,117790.22720545584,70239.42462268786,169126.6261797116
99,132802.81959335657,118952.04079155423,128655.47239208115
100,135672.4273449877,121719.14647149657,80969.30521145278
101,116782.18479095277,175828.35610704048,175358.5022591586
102,120290.25724561152,146966.58300124577,108970.27423317569
103,152508.76542706075,129032.87890827603,132222.67818710394
104,139529.8543594919,178737.81257782737,126445.50598498133
105,111164.7844571367,120823.91825149141,108782.30049212197
106,189644.64578001318,123172.1852806918,116759.1537643975
107,90750.75545999117,180510.9479291925,119233.22252294623
108,127542.40323944353,126557.20371736113,144394.75294460767
109,148409.70997791307,103504.44949664328,157094.84613053984
110,171971.39295866445,146552.74589360057,124491.55812266408
111,115533.78667905804,168888.80027457868,121459.02083218755
112,161127.7071716197,97582.00745613995,127450.88932221351
113,115099.26666609808,90168.20541432666,185909.75698397314
114,136511.0658155579,128063.55975975921,147739.22658152613
115,141026.92847750825,88714.12263469234,119489.16777504841
116,149527.49030947295,131156.22103906615,191445.94842639362
117,174368.89010318188,90123.52549620086,144296.70562250644
118,173330.74232422718,116044.80468806597,148549.79712624333
119,100936.560381433,157860.09264771087,105132.61466939017
120,179643.27374761313,120706.88060180652,171274.61314425775
121,93053.64779873152,146267.53758604973,124632.42399480664
122,140867.2699801683,138578.879445674,124799.54379569153
123,95965.597122479,163620.95202029496,163073.2414506731
124,164777.26688922412,175866.63373610732,117178.36743883653
125,121426.366543398,143658.724525353,109186.17071447372
126,124493.34990339927,122309.02822891576,132686.82051436976
127,94633.23650874659,136955.73562483868,121251.25330631569
128,81408.70045499175,161287.22730892367,146558.44263858465
129,119144.18737491511,166782.85118950278,109039.59775648199
130,99272.393834385,89999.3154616457,117394.14088365536
131,113767.45325188433,88571.58915797721,184640.24820339098
132,125604.31096315774,112915.60011039104,107874.18251702753
133,139265.89964375662,122727.30703691594,156656.40160508256
