,0
0,103510.20836956172
1,129655.695203269
2,125408.19485685298
3,132787.33136146283
4,131887.28658756148
5,119080.14680635475
6,173601.64826481475
7,134390.96560021304
8,158613.2214440336
9,175351.38129608985
10,157536.51396660972
11,141069.1252847646
12,163228.56479796104
13,182796.6930376019
14,139953.852005173
15,126782.02674253193
16,148407.31482809718
17,127486.77860706851
18,139935.12234732255
19,132716.57212629568
20,168734.0643062067
21,168664.75084686867
22,108771.52131095306
23,138452.03281058357
24,177472.86228537624
25,147481.37540332717
26,135387.74292190364
27,175542.63458285626
28,155855.99336053155
29,142423.81182576483
30,165446.53465013343
31,108001.92085786321
32,183222.71928767246
33,141539.2834021199
34,120657.78015245066
35,168715.96175867168
36,181279.8607235021
37,129436.00813549427
38,158752.75484909563
39,159502.99685496662
40,138773.67617214008
41,182104.62626074237
42,159428.80870998767
43,162064.907318103
44,154192.3409013522
45,167887.91264323008
46,168548.53951130406
47,128564.68857148553
48,195173.55678149007
49,135662.71992463912
50,227888.4979469341
51,147916.89563474414
52,139721.83697293125
53,106066.75098445067
54,152762.57681528115
55,120425.0948633963
56,133309.1463892018
57,152912.56246656572
58,130361.50559244174
59,150815.47196209355
60,154638.2986827029
61,171606.8373138403
62,143986.84323368294
63,128191.58855134483
64,165429.76813254578
65,150079.88819032098
66,149434.16341958434
67,183255.126075375
68,172272.84277895608
69,131376.9037884133
70,126491.3142718858
71,158149.23762927853
72,161810.49548219284
73,183528.1642932501
74,140055.28270227232
75,155695.32528516214
76,135108.88460053696
77,138224.85260832388
78,140624.89814782664
79,137813.77764295047
80,181442.1057596972
81,143854.93842788207
82,187335.63724554837
83,152849.66916088434
84,96518.78605203646
85,152501.8404620658
86,150553.6556407532
87,107859.37827844202
88,153359.79508268056
89,157387.13914706887
90,142446.09466121602
91,167616.64692739796
92,164462.78540968115
93,129867.04600116487
94,177750.6437998054
95,161173.17017761053
96,189114.70477783354
97,150940.19275033363
98,154346.59824299527
99,139972.79189915827
100,130999.64438290343
101,189860.57390911688
102,115951.4080087141
103,141957.75429673927
104,164435.38419621054
105,93023.35624065461
106,159549.7960506838
107,162077.75813815228
108,122857.85210059935
109,144018.14579886617
110,174871.38053208764
111,180530.7430550381
112,184401.58013471565
113,135612.79453655353
114,198978.81567478133
115,140325.30338629277
116,143269.24364677595
117,166010.61133697795
118,117455.37297458907
119,100429.89699084626
120,146078.16604591178
121,125234.43839805956
122,152568.47630718764
123,138987.58479677222
124,157375.93423053544
125,183970.27527491297
126,146296.90054926326
127,113845.27992215597
128,126211.85030168662
129,164950.99991474167
130,126714.75907958402
131,169337.75574218552
132,158694.304046344
133,95961.58214035527
134,168539.96945728385
135,160663.51904048183
136,166311.1631947787
137,144368.65982332523
138,113696.95895380627
139,194085.06617442027
140,106960.36188584703
141,115055.82123104019
142,100133.25038900407
143,119938.95309109225
144,207726.3402885624
145,167587.25035339966
146,166659.59944438806
147,177097.7279890185
148,162227.88649779922
149,167382.061960742
150,178993.0205519196
151,186295.2868110796
152,166324.40184248233
153,176081.70103353666
154,195691.32254441507
155,196103.51270735232
156,169742.4310040347
157,139009.77897241697
158,86759.14575169615
159,154500.83875922277
160,157367.5291340767
161,140983.4579403125
162,147830.20215007642
163,107746.98794087977
164,175189.31169407934
165,142522.34744660585
