,0
0,521147.6291685423
1,309533.0112692084
2,325412.45823445416
3,186797.56755687407
4,344243.8251084738
5,255521.74964081697
6,309530.89943796414
7,350153.14387780323
8,320904.2090840056
9,291738.4975677508
10,301726.8516024051
11,439572.3042076728
12,215534.2367864851
13,303389.9292134552
14,375106.00293157797
15,234385.78162297382
16,232117.2184104468
17,293397.0773063613
18,411884.93391043844
19,318342.2062890958
20,425638.4134503204
21,402963.60499804636
22,372613.31215002923
23,425873.4982468445
24,502901.56408284896
25,251837.64372214308
26,333584.49588221643
27,202982.3841200729
28,245165.93279103813
29,446551.99995085964
30,222979.628461642
31,288112.4499505507
32,319276.46607826394
33,311958.2618096957
34,445354.0752940634
35,221717.2769510461
36,241089.95974579317
37,268267.5202857655
38,336422.4780461215
39,146919.20594569907
40,355623.1537630605
41,298077.7158135225
42,288789.52460206486
43,259570.81341394573
44,393504.90386194625
45,204879.37127474236
46,312937.74611642706
47,327705.2614654117
48,466659.26002652606
49,230748.80451512474
50,356759.2099588503
51,241228.92380320106
52,264623.8239164653
53,206576.16605928267
54,259657.09654318073
55,426844.77158286487
56,339208.67247048987
57,226625.71082089734
58,391007.5592367837
59,232273.49974393853
60,221244.92702203552
61,410713.7923171668
62,205550.3766480836
63,491202.00836033013
64,341425.5427694987
65,227005.46451883874
66,311295.71946700034
67,273950.6710917588
68,299613.6072740763
69,343653.5572486675
70,243032.7021345455
71,262511.63123456534
72,383462.7330711693
73,321632.63026371534
74,275755.71416065935
75,275527.2129480506
76,255314.92374441517
77,243459.59279834418
78,472070.258216871
79,292201.5644841211
80,300638.5398018649
81,314266.8695621034
82,411582.29191510525
83,331085.3962561091
84,272335.4172845483
85,439625.00934644067
86,196312.63093016256
87,294205.89653105894
88,345261.5812164445
89,318592.2422156015
90,250522.45599150757
91,292249.8166401658
92,417116.4526009364
93,375253.00601376616
94,326479.5141264448
95,245432.49445525193
96,379489.2814761237
97,348037.3299663559
98,357270.1160569244
99,223369.535361106
100,387067.7559722472
101,214247.06626765773
102,197430.17657109938
103,425314.8470812557
104,349476.25733855704
105,357097.739177173
106,356217.99011737877
107,388129.9571739988
108,262795.7913876774
109,351100.003911525
110,322779.95631033217
111,402501.8068653077
112,188212.92521797516
113,374763.7926466284
114,209530.02057913566
115,177885.8550594814
116,254287.90770248685
117,224302.37004793755
118,293215.15011504665
119,321592.691802958
120,381349.8491573516
121,360112.1876574848
122,377174.55714616587
123,330149.3186753541
124,305418.9477542329
125,348665.52121076774
126,240388.53885662684
127,259415.34314672885
128,356224.96675130166
129,288986.65376897255
130,327934.74707694125
131,412819.99367555795
132,189218.0954715167
