,0
0,115547.24883585527
1,133547.97831096046
2,115547.24883585527
3,133547.97831096046
4,115547.24883585527
5,133547.97831096046
6,115547.24883585527
7,133547.97831096046
8,115547.24883585527
9,133547.97831096046
10,115547.24883585527
11,133547.97831096046
12,115547.24883585527
13,133547.97831096046
14,115547.24883585527
15,133547.97831096046
16,115547.24883585527
17,133547.97831096046
18,115547.24883585527
19,133547.97831096046
20,115547.24883585527
21,133547.97831096046
22,115547.24883585527
23,133547.97831096046
24,141558.05296757648
25,112876.65556880985
26,141558.05296757648
27,112876.65556880985
28,141558.05296757648
29,112876.65556880985
30,141558.05296757648
31,112876.65556880985
32,141558.05296757648
33,112876.65556880985
34,141558.05296757648
35,112876.65556880985
36,141558.05296757648
37,112876.65556880985
38,141558.05296757648
39,112876.65556880985
40,141558.05296757648
41,112876.65556880985
42,141558.05296757648
43,112876.65556880985
44,141558.05296757648
45,112876.65556880985
46,141558.05296757648
47,112876.65556880985
48,146034.60115449008
49,134108.48919730075
