,0
0,168952.73265418274
1,323303.81487702933
2,168952.73265418274
3,323303.81487702933
4,168952.73265418274
5,323303.81487702933
6,168952.73265418274
7,323303.81487702933
8,168952.73265418274
9,323303.81487702933
10,168952.73265418274
11,323303.81487702933
12,168952.73265418274
13,323303.81487702933
14,168952.73265418274
15,323303.81487702933
16,168952.73265418274
17,323303.81487702933
18,168952.73265418274
19,323303.81487702933
20,168952.73265418274
21,323303.81487702933
22,168952.73265418274
23,323303.81487702933
24,273062.00539672945
25,247897.35256461977
26,273062.00539672945
27,247897.35256461977
28,273062.00539672945
29,247897.35256461977
30,273062.00539672945
31,247897.35256461977
32,273062.00539672945
33,247897.35256461977
34,273062.00539672945
35,247897.35256461977
36,273062.00539672945
37,247897.35256461977
38,273062.00539672945
39,247897.35256461977
40,273062.00539672945
41,247897.35256461977
42,273062.00539672945
43,247897.35256461977
44,273062.00539672945
45,247897.35256461977
46,273062.00539672945
47,247897.35256461977
48,256660.97237156803
49,297445.6095871254
