,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12,FFT13,FFT14
0,127411.57034046423,65236.33579968671,58614.88000369817,53686.887639099725,55104.405794814316,61183.76045366603,64339.35755220696,25214.2298952157,42622.37251380238,60266.93048547707,92188.51976855885,15783.75319474516,58982.591221742914,87551.25451678933,13522.107285292794
1,131107.92418535252,81242.67381099054,63080.79012625409,45295.759226636415,137791.73084727256,29152.490648544743,75963.80412322757,32861.98886423328,52530.29394171558,48849.417316029874,60309.09682117133,29898.726635781517,36223.225117453156,102062.11844513619,35266.344770582364
2,115870.92592581669,101420.40891694133,65639.17228844984,30927.371354851035,54689.621205466385,51377.04415803398,159805.01086487822,52387.51955301686,83952.09437262054,62335.71008270593,58045.777929310054,46531.746485798925,64372.09796962923,36866.07295685257,35321.15966234305
3,47213.349460789264,103924.79458462613,139061.77257107454,27345.42759692698,24805.09726592711,69121.17466805578,67651.7620647631,74023.02944255168,85484.53088561782,71216.92469597892,30458.822945056,25278.005257563305,20374.571657738597,45953.533437635335,52760.86179000779
4,67319.69323368897,161629.215594218,63893.261549718416,132390.11191284945,20779.30314332231,36413.33155160565,45942.98989015536,67888.57522958671,38377.71618415661,13202.092730724218,90190.30494819826,27378.21625940482,26524.34034896848,25763.28662760187,32364.404133670472
5,122552.48772936892,46582.936632812,78669.2853990087,26901.626493154563,54341.86536407061,16443.48158089051,92220.70817429227,49410.17153379418,45727.31356800315,101017.73582252151,54732.34396802028,18898.66892831822,45073.90477766765,18445.79665481858,39579.96406673884
6,108758.87970320575,177697.9118303017,182608.7576060721,50068.62024854394,53063.438685450805,55417.42241685091,81431.83813547457,88878.97530019515,38013.609560011886,43251.15228084818,56112.883943660694,38094.410198163096,43690.010675869766,25187.745566308648,93849.9593554443
7,91567.77599575509,117359.91020628212,75168.95780151356,135894.7355820791,9928.751304318728,9346.560100118622,13198.220998328841,36637.36706545131,69294.0231854716,1820.3712330945723,58843.58381651108,46064.19834557151,36251.849013105064,32394.799434809935,67228.63379291755
8,97738.62645767932,96897.87856886382,47280.102284518194,53346.74600658839,113702.6066477174,109945.8535344628,42568.166534774675,20785.945786856086,66702.19162319049,57746.645075898756,40538.811107596775,92218.01889049323,67421.14760867652,89684.21850333313,51576.2333883393
9,301801.6938427126,92220.23908132972,127597.21561040504,105298.7838091611,151317.9165265489,35127.57208208379,42545.854090921595,31022.130386212993,86289.35858850164,39547.6622370038,52677.650624010275,59375.93374010428,37601.035943088966,98030.11859582484,48421.41519672346
10,30366.61779766447,61421.671074050864,213136.19712323032,101502.99424161295,108647.64090367123,120722.41320737905,148243.5636836751,37707.36644867589,50356.545705138335,104135.28283057209,36409.887837536844,33338.43044230295,73082.3138202792,26409.780715533485,62808.39216435673
11,67165.38448844495,104371.50487256916,142971.2220254481,75309.38749571017,11035.176972661373,27558.52054682206,74422.50859287864,163381.7843530953,42526.58992261792,59365.187091788284,52102.08528486534,75204.93321025021,3804.108808359609,32052.040858115415,63374.68290543122
12,80713.52615453872,88927.76510483741,217867.53667411112,78073.74098956176,55499.26630986137,38611.937457559216,58574.883592876286,77430.21116240897,13617.511434049875,46706.85506538581,41777.507939761956,33638.35181353148,30699.01563242625,28035.647676092936,85053.60345830917
13,167431.46702919214,67583.48724318991,57662.98650427178,105785.13525052949,36392.82597336335,107795.142662613,29464.775493037945,73011.47270520408,57498.61282899057,66910.4502250937,23546.759022475293,38161.128324014615,19350.626151093267,24126.506567325756,17304.09113404692
14,55005.46900127841,93635.45374560847,23496.6551363581,34865.23109964137,30986.087588767525,48907.813752650574,73240.12521743616,30496.934091961324,137607.83298825152,43614.461169058886,78595.21991337097,72725.49571848381,56739.73554434812,15637.718274744788,75321.55007343662
15,186109.90047258956,35188.62968037638,6960.527013181348,82135.2187243106,34186.5998343384,22294.607784172145,76347.13753312017,20777.515731178926,41079.354880771476,53786.194946800504,43942.48919246043,125268.38133882593,24290.084484259452,53030.219934054156,63428.075039893825
16,72207.19905779166,126745.42017336958,55176.56982394222,88885.74951114846,139560.55144450988,84371.13439116119,73998.31066089806,9615.736085270531,60843.829852881914,66956.46236892203,48605.110769444575,23229.857179105515,46972.81839125615,42614.38553728847,25616.52780742919
17,14227.783616468883,145278.64784683243,152998.5540412754,52164.97592062534,92996.61926506543,11863.061171241263,56027.60529627674,30565.829762751095,63301.58286186746,68075.12728284589,56993.53540732603,63623.44653065225,58035.12325735805,65948.58380717998,19967.0465046007
18,68856.84811733142,110735.91865274575,147369.99118290283,22259.444104979968,104349.99690380928,82298.14124648923,78481.60951543578,56424.7079854856,58473.8804236466,54392.584949808195,36382.898488358995,27043.887097821855,25535.499125322658,52329.137818799936,24357.913606764872
19,138340.6757105467,39344.99127360534,82852.3932262962,78300.3488262194,70455.99538422616,67325.20915121573,68372.75013962445,96696.99160883094,29740.67883397707,92279.10666948695,120200.3378265305,35223.90314281965,125798.83216672078,80219.62186012739,26490.66042382074
20,207479.59550266276,83440.8703307866,314826.3032139421,175305.06814356873,11296.107500604287,26875.756938011345,17281.781377970845,51494.239142675026,34989.12364940747,72220.42773099807,20586.711117020608,38035.63148109963,4672.597452398491,24796.837358177167,59848.248349264206
21,3422.1008583699313,74824.24552667141,123003.6031656645,15712.602607537898,42234.684203867226,66669.18485660512,35816.12067676627,32898.82729706832,13056.543337914476,73429.43614691438,120774.27845126374,10510.080525815456,5246.207353639533,26479.60368453157,60129.440600547685
22,122056.80404270772,80444.38262866558,165688.44050090385,13558.672032845667,47730.870383218156,116029.45699265225,35467.30744218583,80122.50817251934,41686.335425925725,58147.02228478883,84434.88909677137,67728.33492022999,73313.50881442441,60022.17090309855,38064.94670395339
23,180439.83917364394,49617.508616352294,47409.80166441744,39841.21797383818,128099.62393075954,6483.240158959399,52197.4602539802,25801.309801969073,41149.87804677418,47058.176046624074,43432.67742802665,41522.67273304152,31040.485123985036,24723.64289244274,28020.23478402662
24,116511.37845369999,153492.6083804395,172709.69372193012,34128.9897935081,65642.2594708365,116434.1741420685,82420.85790279326,57754.60181067234,112425.34762164776,33872.88039968588,53936.56782537911,55773.9214264511,56352.218804478885,73139.738091384,29770.279972413453
25,144804.51533793192,48290.15620994071,50452.15800665869,20286.240585309835,987.1291452429294,52169.92787614355,34753.831618868935,55539.30857319383,15749.438485522029,31583.84226124394,82932.56994777053,59691.09860713948,70944.84265102491,53223.99014207243,22927.968025746173
26,137388.36970684186,25995.9371216031,21924.638185316708,86518.18125063105,99786.36016395765,108192.59027327553,15518.603332567724,50667.00199952971,44277.856619264574,40847.40557347129,47328.47189827581,15330.525770138047,43568.253532027826,52367.25925948706,26914.470996039916
27,147621.63548625927,29097.912417329364,85247.90771253496,96897.09731162968,50571.171341036315,74090.8842254021,72927.12609864633,54941.37199193217,83045.71018709679,58935.661684509265,50140.059171956,27784.155082996513,16852.97932651125,51795.389658523374,77761.8834431212
28,66624.47975417745,37198.69188802119,121568.49416725784,88844.10201888191,105963.71999027766,41977.436256549525,86713.01427752001,102324.95851136421,108619.58923942709,86496.80048101673,36947.888826114184,36188.792765049024,40280.89193802242,69563.73972672173,36871.05015261
29,39049.32707461088,90070.1378743493,40839.76887046213,94944.04365976485,73710.87937630001,95168.62972683905,15557.911764555087,49058.567130057214,25882.093414677038,81798.4991681013,36086.047993302614,47136.212692533016,51901.33396202678,20266.486434788832,41245.10622876888
30,156199.6780456859,260653.05610261572,43341.69973435089,118049.08219339712,79576.29461551429,64623.669142279396,41402.443733257925,34936.77467287832,63224.12933309832,33421.91518758054,73578.14923882621,24597.87746316798,12437.59580911308,84458.02336356894,36896.0972076891
31,39023.817619328904,72428.51415354294,35177.2229199407,76356.76424966926,40806.73219969005,121319.07338041118,32780.210438922935,62498.94066190636,67617.73064687649,55900.18645375166,55099.20006962697,44074.061283882475,31541.539966678283,27174.416360833013,54652.10711030134
32,246244.90543450098,11588.016164171693,52881.612721088015,98453.88493032065,57612.47813142312,72078.30450944882,27584.743424739376,30697.615207687704,51012.881175914146,105162.28303858997,77354.48971729822,81311.58868092619,31934.689069982272,90743.27436712125,75525.09067255097
33,208164.88059074123,38053.980902957905,108938.8614899149,66881.83196598952,39337.69498661456,70653.74280818315,50951.35301496095,66761.94873799651,43437.05103047549,103498.78552525087,104941.80152230986,46748.81026662873,34978.24006588848,34869.21056838002,59214.810862461236
34,118490.34446791485,110761.66308353095,28542.336363142986,28340.042386050274,14405.015914030937,92307.86882538597,57276.69977682415,2994.817703011746,129544.96123664414,73143.2686700521,87883.85700584753,96397.02970168575,29451.832432176154,45006.02467177342,28499.27747101586
35,209222.04073764678,122948.0179810661,78417.96075399156,78253.57969717689,72586.8841524295,55228.24316474663,37178.50883217758,33775.24518331945,31240.132559422855,130080.59865286006,53881.00427192415,57139.645400790534,24320.05739012721,45591.04143126879,20739.438337237603
