,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7,TTF8,TTF9,TTF10,TTF11,TTF12,TTF13,TTF14
0,284559.3588886289,125578.14261974167,298238.4724176554,140466.59669129312,197129.28970169346,406528.1692997789,371184.6984341854,353423.8768450772,534192.6689665922,408375.4579045981,354895.24963355233,396306.08120648086,248874.25328000527,343472.9134750365,351887.49754235323
1,141797.33057231447,206524.18164048222,142540.4875807831,252747.8349300643,327755.56725272804,144561.2125986576,329196.20486434863,549255.1554771208,298785.794771892,363862.6262139498,305872.98875252006,323489.0442442745,405659.30313090864,401997.63040820154,446333.0169533953
2,303521.38271676283,358095.5447808208,219525.29624566343,360769.576954767,232368.3588565457,216662.55804696865,308592.8282142421,275358.11992312083,420535.8015173413,216447.16736785753,342872.16346213024,302987.6174236752,303413.8220737777,367382.01240945834,475422.98905181466
3,94796.00991207216,114272.05942973339,236753.4407293396,197794.60112842894,265673.982714001,344433.3572313246,335703.6557368163,352022.84193405265,302640.3114255343,431297.3371781969,444888.9294715159,386701.33648017375,309646.5305168625,310425.648475392,251657.48838521453
4,166298.15508584294,301150.9772997686,274500.96936504194,270215.0677372875,261813.7041766209,246437.82444301446,375370.5739734088,244053.57743003205,305771.2223280452,331504.0887923824,350949.4637828498,358153.82817971666,337096.91986206354,308143.1837848733,381623.24421620433
5,440774.22212821676,327039.60784442653,257293.35664692853,356800.63712080894,335160.1876366724,279712.20264141436,311248.07017386117,346286.20944000257,289453.01528275514,332804.64774617855,216980.80993526304,446832.6879177514,376261.9901507605,320750.03740553773,297184.61943456053
6,170925.84429395237,284761.02899216226,249788.3634030381,292700.7736287783,260605.30489533767,385842.87622280326,375253.1871241351,363557.28382676473,375022.18528317346,419072.0613594039,296020.09675802954,375168.0516706627,394309.3470966985,414322.39479984017,395627.14915485657
7,170630.13380382292,260182.72224825417,328112.53365384444,203587.86731308652,342531.7043496551,391337.9756635464,427584.73675297963,416109.03551794327,301112.5921892223,390039.136963414,418672.24861307297,362643.96263100184,256339.4083400869,419012.87492469803,370820.54708719644
8,202449.55865927407,173509.16029733123,322510.4764841947,284742.7578308467,241680.90936303436,354419.29091936705,370826.1796772217,319868.86638865387,346646.88644280826,243634.16818452685,324720.25994267553,297369.95859198016,335626.07598622725,278048.46891023027,298191.19436664536
9,316490.8950068476,220883.2785228333,303920.3528026251,258133.24781801633,348465.2298063853,282392.513486141,314783.49923900154,232682.15429142947,404723.10271666263,331940.109532858,476329.1992554049,275830.4717183808,379051.41683972906,376665.8035560794,408894.5865469304
10,233737.94319518853,93626.79503825934,443977.60999838717,286977.64780726767,288243.96498365037,214627.76146951,225383.9810441777,295977.3127932803,272469.177556782,378927.581054306,367215.50752158475,409534.05749827984,382163.49749730877,292773.0965926103,339405.4018889039
11,94747.44657403877,206637.38832072951,367084.46564788616,263439.34485205484,259680.84597574934,313462.83019712754,313502.035049812,389074.9725227281,282413.8328913821,321800.7407257993,328972.7446783498,276982.6463424822,408185.74844552006,309522.9582504805,408475.49160620826
12,180600.69831368286,223188.20033664125,408916.33551384124,209391.49476764712,333862.37393506186,317463.25375290366,258711.684661955,241156.01194064997,389880.9637187152,500705.2093629963,531636.8739733094,275785.1064863888,474117.87295602384,371320.35009404505,334965.8356538824
13,272918.3627971917,109387.31500340799,249208.83936072275,317487.93916830677,395047.51093434094,258645.16868717104,319033.41332414944,395002.3577064799,337431.3508471801,300934.241860117,314483.699119395,354931.1935961195,356147.2294160328,247022.18110727926,318769.4001850297
14,131308.32692939672,206662.72642157885,359777.3613680394,272703.35176849924,190984.35086926984,242888.2922945865,348543.7480640294,364479.83269695495,350774.75427273626,289823.58755830827,378890.7986829114,367393.2295373233,302546.7136761162,298640.50030269683,418737.467792831
15,331966.9091595983,324416.91450607893,197844.3124429089,225129.80757212895,225846.78213359497,328657.5160828853,265325.8435379347,248844.6246487453,329417.9468796294,322719.4602206281,263902.65535158094,368678.78485524806,416361.143373259,343495.3403218794,378059.9994571842
16,156489.3985890426,247830.7816021662,252472.7128626712,409883.4124796947,278708.5437392491,311250.52111193934,312521.8546605511,438374.22007927747,315296.38698581833,434238.8028875758,402219.3976717002,356517.12531808205,328263.61339366646,410891.03019006026,336446.13906381064
