,0
0,534192.6689665922
1,298785.794771892
2,420535.8015173413
3,302640.3114255343
4,305771.2223280452
5,289453.01528275514
6,375022.18528317346
7,301112.5921892223
8,346646.88644280826
9,404723.10271666263
10,272469.177556782
11,282413.8328913821
12,389880.9637187152
13,337431.3508471801
14,350774.75427273626
15,329417.9468796294
16,315296.38698581833
17,285374.8917352865
18,334616.45251605567
19,293496.4224208214
20,292650.8232485054
21,332157.0239268975
22,378561.34487790754
23,309157.73912170075
24,344381.0628144441
25,403991.7175429468
26,265668.564918455
27,322115.15254922427
28,440585.6723533077
29,456672.67209463025
30,479778.83157418866
31,333598.244916137
32,274192.7228134929
33,254824.33446730545
34,304868.01869137894
35,281717.0204799531
36,288817.9668767539
37,378074.38112019905
38,300118.90458214795
39,343819.28900482104
40,331972.34612138424
41,321063.8388532306
42,297067.8030393129
43,275309.34831357084
44,293831.852988433
45,222418.3537057441
46,241329.93090072478
47,398039.7091501426
48,357120.0070659361
49,354451.24201258493
