,0
0,267758.811978372
1,362325.10523428564
2,232252.53309020787
3,319289.5572741453
4,198484.7413129934
5,234597.60513690027
6,423524.9412282158
7,286590.906244225
8,333824.8779728311
9,320922.04949374107
10,306732.29530743265
11,349980.8915808366
12,433873.9857075624
13,360609.5833686316
14,263895.4291741388
15,278619.6670829395
16,364832.59090618603
17,218843.4039459003
18,212308.35884151908
19,271382.8718785469
20,371401.45852765965
21,333124.7945628263
22,244550.32596648295
23,419631.9680068581
24,393402.68351952115
25,312180.97443068365
26,236381.48721464843
27,323926.7759153595
28,271402.21884703357
29,290023.8379737176
30,269047.39486772893
31,215975.1846445009
32,315535.77879649017
33,324256.228129223
34,410763.36588942877
35,345840.45133970346
36,325536.0550171485
37,288344.640504095
38,240332.2115357041
39,258718.54597165808
40,255873.81008713308
41,433170.4619872631
42,424852.74169653334
43,356114.82293555484
44,254342.51450792328
45,393338.7326859626
46,307820.4297245343
47,274943.29249144415
48,402400.30601738085
49,266795.89703173784
50,429924.25988607004
51,369076.8002314647
52,329458.2035840603
53,312472.79693367064
54,355189.67875264783
55,330778.048900058
56,440941.73368483625
57,282009.6533758405
58,319423.3087758285
59,343125.28638912516
60,330342.7027183123
61,396475.9930089905
62,271017.9626475242
63,263366.7874104327
64,351892.6775839997
65,304876.0245611225
66,251050.32150955705
67,496012.40720389085
68,401989.10734099563
69,329045.1255099722
70,357550.37716538034
71,280542.3325487969
72,430702.423034902
73,404201.6354351267
74,270854.6051060071
75,326291.93233459984
76,323162.04850103543
77,236704.63148300748
78,347648.3799167085
79,268131.07720613247
80,370648.3632298323
81,327206.69378572406
82,318480.9421443659
83,309676.5018989753
84,225949.90729623695
85,379718.6125303054
86,508090.69145647716
87,300443.44474271126
88,271426.000299325
89,306005.87325595535
90,323186.1638320988
91,323305.6368209968
92,363591.62785447383
93,212519.25662066092
94,385793.0967164485
95,280393.93927210127
96,433507.3786960814
97,409334.5275007121
98,382065.7762180576
99,331561.9819062295
100,372824.1744387442
101,361939.18591619254
102,299405.1957593066
103,311754.3828682223
104,299000.2344314357
105,210081.73997314658
106,341441.8418627958
107,414341.0592724111
108,193394.34186865922
109,307081.0701923273
110,387425.56424494775
111,380681.4534085986
112,407858.5031889467
113,233710.25125902222
114,444373.5132101992
115,351852.82626460027
116,258711.7594900559
117,376065.0317766351
118,362482.68874318316
119,356121.782897704
120,244124.58848732893
121,342243.97823568084
122,287902.07017375925
123,319195.3777209186
124,406844.3601107288
125,327573.1067613962
126,298250.1772144332
127,256968.5510523895
128,242565.41997576688
129,462008.4598874216
130,244028.20031050773
131,350662.08229903947
132,294190.4465042191
133,238001.43530992462
