,0
0,176307.83753268508
1,142449.1123868998
2,117497.55007893374
3,290296.7547496315
4,193577.23254470946
5,361753.62835905986
6,210830.90899551427
7,432298.7287378589
8,397676.58639439533
9,252165.19076319205
10,295280.9202732811
11,228507.3871646601
12,224799.9067155616
13,308816.7333203045
14,287438.5714199429
15,219778.94957959204
16,188698.9325416738
17,236393.98238902751
18,214657.84713391337
19,169378.32917673257
20,293424.52251640486
21,249795.93186440005
22,255800.8553926061
23,335074.00197166984
24,286548.43614035554
25,384763.54651918676
26,214082.65137130703
27,333393.4309395672
28,189565.10126069447
29,296130.0977948181
30,301560.78209473006
31,183943.9373480199
32,308308.96152563114
33,206994.74283030635
34,305154.46730862267
35,200699.20360584813
36,191369.15601927147
37,291889.96565861074
38,297405.2243929652
39,232193.47726083794
40,317633.90391599433
41,218755.3737123767
42,348898.8674331459
43,308037.35122546105
44,266123.58772114746
45,192025.6086041612
46,192258.44850421345
47,179693.1795380703
48,246273.33807966433
49,250038.80090361804
50,249277.61997640305
51,203033.41303208724
52,169978.7639168105
53,301939.95547839557
54,344862.1763677548
55,200890.79614811513
56,332474.28400795115
57,290028.11865186016
58,223206.52679807635
59,282477.2598857257
60,306687.5496811724
61,376385.37660160963
62,136640.83804468563
63,236873.51635047747
64,140296.30210771857
65,177352.58352080555
66,272505.56334204396
67,251116.1949468101
68,241128.12406706816
69,178416.6400022868
70,274169.5375954514
71,137338.04256358166
72,464201.36617496365
73,209266.61754706944
74,252945.4799073588
75,255862.6370867601
76,230783.43652414117
77,264801.19230379397
78,345539.0318879756
79,304385.8551442864
80,196094.38467312328
81,295231.8001586163
82,213317.35286150646
83,249399.78238145303
84,201387.3890720325
85,205466.96386308293
86,263724.15842588054
87,187842.725889081
88,307696.6271318669
89,141487.3194541282
90,263906.96637932473
91,297101.4644366695
92,304689.9434102128
93,287846.24491940974
94,331279.815344333
95,145350.72758192304
96,246222.43879935605
97,182707.93752499114
98,327538.4515755754
99,360784.9535431312
100,273561.805549029
101,321720.9761706429
102,341835.4338818854
103,179789.13528876254
104,232238.20601189724
105,295427.30633584695
106,221442.6671422206
107,261499.62014281578
108,185294.96960427045
109,309770.8622199501
110,275496.30633814033
111,331291.1051137465
112,310044.29489608115
113,228964.28716395772
114,305708.6698821911
115,209705.1910534723
116,282173.55827891437
117,397333.56491235865
118,149935.55978149825
119,309174.2682745624
120,228335.2407827161
121,338139.04833882954
122,143643.6447886143
123,282403.44614558824
124,330431.71476504725
125,310374.9314376541
126,234258.41962762966
127,359074.7059236687
128,177558.5292866925
129,182063.75739288714
130,267361.9586715883
131,291195.8822548043
132,312217.79194862914
133,203853.00680409826
134,194367.49139327987
135,279486.21975034487
136,215921.23968118214
137,364249.5609288839
138,268880.9997912287
139,266059.72942848975
140,243927.2084005154
141,383155.4372204769
142,428282.917843969
143,177468.78672784887
144,258310.5318169116
145,267350.45518418204
146,215676.6137881336
147,215679.3817851126
148,264097.34742245957
149,287869.3183823299
150,383274.91410165856
151,268513.6075944728
152,341796.6529073813
153,210534.5927419915
154,327389.70529443485
155,230847.20766611784
156,235069.49181329136
157,326630.8034089465
158,331087.284221802
159,213075.96663625387
160,300517.56496642664
161,212777.74777203193
162,262340.45849376585
163,297122.810652099
164,232059.06144338855
165,194668.33556039215
166,373004.2052918034
167,141044.0186269855
168,141229.0461971116
169,259901.69623242892
170,326869.91492135794
171,259587.55800317047
172,319701.39060033247
173,241733.75571669088
174,266464.15073494625
175,277639.4718180294
176,255273.57329221425
177,323805.63936463755
178,224826.04835490603
179,310306.6732534872
180,259306.78146660022
181,227749.59577762827
182,160330.86415225558
183,348475.2484865045
184,216767.5065696285
185,367190.7671541771
186,299246.99437973887
187,208321.34186720237
188,301394.5395581116
189,193521.35852070161
190,347054.39282017446
191,242040.555465425
192,289173.1222609471
193,295342.885162324
194,212365.34130542402
195,332189.24380051094
196,192592.9881407708
197,331625.6960666511
198,232041.46064942316
199,167535.40421685917
200,232802.5510185106
201,302502.207469289
202,388753.60112337355
203,270560.7786024796
204,266551.37904817663
205,237396.82441908194
206,238276.2849784557
207,219764.32545002463
208,324045.34852803004
209,164359.6254372432
210,305544.39708630374
211,220308.1705301242
212,256168.48467992147
213,329696.214484295
214,281897.3195757004
215,345739.3882911091
216,194250.87305264003
217,336282.5665367248
218,328462.70333624806
219,233044.13543530885
220,247429.4845755615
221,194092.23887029002
222,244227.96484346132
223,262815.86026490876
224,197732.048303737
225,234018.74507007582
226,87319.68439341662
227,281697.45652418095
228,286484.19177293987
229,297835.6930386835
230,264375.3787296158
231,305991.9172881186
232,282702.4771758262
233,302225.3231147209
234,379567.2942248864
235,201896.1777985583
236,144789.13484487968
237,163697.02317422218
238,275356.3553001697
239,161653.36447733716
240,315453.6882313758
241,240822.99676284284
242,246395.77447552417
243,332043.81299907
244,192957.36984397523
245,155139.6713273222
246,254238.4130386472
247,229761.84750633023
248,192047.39160512845
249,217348.4208182026
250,214732.13405034822
251,152896.7422195813
252,254351.1605560583
253,143441.42635663255
254,469133.65199675283
255,225205.01780412605
