,0
0,29841.488461926838
1,57384.20621697094
2,9275.896218185748
3,21934.57632497702
4,33372.20580364522
5,51496.23211265386
6,12996.984446033754
7,37741.011158035646
8,25246.25378757561
9,56986.14978626697
10,29933.458097258208
11,8141.607108195554
12,58337.68024975801
13,51998.27073371709
14,45875.6459712266
15,40297.88120328769
16,46608.38321016513
17,30919.704693111617
18,17173.679462537257
19,29197.30836472752
20,24657.41983104663
21,55472.82163498182
22,36557.58997902095
23,50342.74778424165
24,39986.15003767614
25,22525.087290696516
26,22167.924330527057
27,54017.84831123928
28,29659.316127422047
29,47079.61085401224
30,39240.82178955247
31,31200.325773289464
32,39366.598206005205
33,53990.749147523886
34,27381.154818352836
35,43840.969635781155
36,13809.706732159828
37,24722.65048866806
38,31675.27363885433
39,19118.939819952408
40,19009.415590444652
41,32497.955270855964
42,26264.91619305037
43,50650.471798311395
44,17404.57523249393
45,10690.762978715495
46,26654.645589418447
47,19148.25037819483
48,35233.69878472074
49,27294.774707331446
50,28430.376526410066
51,60363.78462333989
52,18447.130609187887
53,44109.949050916315
54,34253.526187341835
55,36097.65454401813
56,40756.96335761147
57,49125.76972515337
58,35203.92053477203
59,9720.585258316287
60,38540.51803498961
61,34082.7590253017
62,24195.52468682109
63,41448.63748611962
64,26824.403156035074
65,17370.565105319005
66,30788.313022853872
67,25763.40095919696
68,40519.33668511345
69,49695.994264996334
70,43645.665521294264
71,51055.59035271014
72,28896.335029946167
73,39650.092356195404
74,22856.765625256114
75,35800.42360389515
76,34922.03124043365
77,31667.868056774412
78,53667.333535940226
79,19118.021012057645
80,39155.08362953644
81,49609.27962179267
82,16956.1978217023
83,23547.082383943023
84,10812.356253556134
85,51578.99665069014
86,34367.95963300929
87,38253.87088450344
88,35191.38186887624
89,31029.15251076982
90,40600.46913892914
91,10237.186033521259
92,12482.566125849404
93,61338.632777790146
94,35783.59589388386
95,16385.719775593963
96,22669.53078068665
97,50276.47390332337
98,24700.449634360055
99,46125.428398195465
100,44818.40012720716
101,57362.101887137585
102,54780.09671216542
103,26334.184534980905
104,33928.90071358943
105,12603.254680150285
106,36053.222843829564
107,27067.0178120995
108,52466.51515199615
109,37906.36491231332
110,27972.644670828267
111,36814.191449549755
112,39655.73163591104
113,18542.668996166136
114,40570.37129884224
115,33547.993552039065
116,22263.022297627995
117,29572.473298433626
118,31511.343728293712
119,26281.24241674513
120,23731.334834770514
121,19070.267737988062
122,28354.076082550855
123,42633.8339601218
124,45399.4875389434
125,27758.120849129853
126,13856.9493954215
127,20658.613199944226
128,56809.15707143291
129,15685.926237403914
130,21581.76618372905
131,58840.05225370072
132,13396.598340536257
133,23906.269498179114
134,26727.097348052775
135,25507.384234339308
136,32927.56439004157
137,36480.792873893704
138,24330.262220467775
139,37237.44513991584
140,35763.81585234507
141,23642.935297975622
142,48655.91343761407
143,12802.577811713218
144,41120.258461160105
145,50782.04503386305
146,40845.842812032126
147,28573.763641728037
148,37634.45887654595
149,44318.785168016344
150,42801.25799767058
151,32865.659694025984
152,17106.779419306207
153,20466.24706121306
154,50587.830213978974
155,35862.18983912935
