,0
0,38299.72538539246
1,59258.45127008846
2,10410.477811330717
3,27549.967552756985
4,52552.995525026425
5,11879.18358438887
6,53815.48630451884
7,29956.44435730164
8,40834.41916759725
9,54562.21114109216
10,38964.662236501215
11,24739.245802305657
12,31031.482817779448
13,9361.251919637965
14,33762.30481593387
15,24565.03972247437
16,20188.88018724867
17,58102.32718062659
18,59550.571147455055
19,53452.460702524215
20,43997.64808674353
21,49563.060724854644
22,18959.183833170304
23,22578.105871341642
24,46531.92942769222
25,24801.290446443545
26,36405.83324830944
27,40382.2714212981
28,66527.84439887399
29,29606.570396402214
30,30392.972226722726
31,38808.10514415103
32,61654.541471412886
33,73337.16753116314
34,45143.40459900228
35,19713.56993228144
36,39947.88482896653
37,27684.114354605146
38,36945.074130005494
39,27700.938882698658
40,20143.451409865826
41,21118.49600128354
42,2493.033213545122
43,67303.00543288772
44,7017.164481020681
45,54824.781852443906
46,22540.57343429588
47,23597.233417279185
48,60654.09681528809
49,52853.454250393916
50,71294.23410393903
51,93517.79986860116
52,40650.38041153817
53,33205.24802657747
54,19162.40864908119
55,24113.984161672626
56,27240.302263855334
57,64523.38577162705
58,35522.1707535929
59,11571.244967354529
60,35094.720425645944
61,39031.791201516
62,30561.517622618547
63,42950.38903764668
64,40461.642841917346
65,19806.608849849177
66,21827.852372514386
67,45955.133686827314
68,33773.22647047097
69,68724.9463949943
70,14635.550292988413
71,98470.03676869089
72,31767.083288311173
73,12913.698353922422
74,61438.94566273859
75,32066.886220865283
76,19958.546050546996
77,10309.715716281406
78,23124.06890200806
79,33467.855668082855
80,27506.22600849517
81,65829.77351127494
82,24474.25538948142
83,36703.095752843095
84,19563.272222151296
85,35159.43078614223
86,26989.962069180274
87,11890.869379662086
88,35042.09527116787
89,25523.808245450316
90,43390.37798728304
91,31360.64091617269
92,20195.667341659293
93,33101.64473709308
94,9057.813167764483
95,48416.540176244496
96,51718.3552184895
97,64295.278623359074
98,19659.11972570549
99,52367.39143308143
100,51139.90233292949
101,39868.20361029543
102,1643.8073493302277
103,16393.060058335333
104,73561.35177819713
105,37457.029152899966
106,12904.278732383806
107,37178.06442498187
108,15958.09621293087
109,31798.463646216627
110,42287.62887303026
111,69568.08090888814
112,32861.228808365166
113,4932.632377516321
114,30313.382645398186
115,36942.09344899079
116,70303.78312674403
117,16515.42624605477
118,63977.29323727123
119,34086.59859667532
120,71150.3011436653
121,81973.9794850336
122,45369.81990369963
123,22542.955124929194
124,42303.6102598759
125,25480.312622570316
126,46310.71150187883
127,25953.07282094505
128,50145.98579708743
129,30919.27640760471
130,36506.78417581815
131,57639.407450962615
132,23770.15279649736
133,67791.5201068668
134,39290.148653473625
135,44394.03018600395
136,16992.960673291374
137,31221.08142271581
138,46431.4352893782
139,27730.086899337293
140,43564.37068081937
141,75708.33209007903
142,30303.03724832855
143,39882.57218188459
144,98247.2777001545
145,33475.08365541918
146,16027.041593464746
147,13908.752615617012
148,68958.39103245539
149,41064.55810421492
150,42194.43559707591
151,30801.507005793526
152,65444.950981186405
153,46381.26020888229
154,36336.61427892935
155,12248.413321537075
156,58100.03181639024
157,28150.938271904623
158,26835.86698428962
159,35869.924193090425
160,46471.13046218456
161,40247.577138556124
162,45994.96883673631
163,32709.02342201555
164,58031.567256247334
165,65045.84023618885
166,13875.813410524941
167,24398.182836946104
168,44589.88693524227
169,45517.70075093637
170,50335.86328444769
171,44544.080520243915
172,93273.7815382214
173,60758.548808759064
174,33637.47081535207
175,39429.59115884077
176,42741.77879931442
177,65872.12719797902
178,16940.76696031674
179,18456.725390753374
180,90733.75029006244
181,13515.120900932407
182,10364.604458793743
183,46070.13108533097
184,77204.83891273694
185,67343.98500246467
186,17663.445728199997
187,17915.20574579071
188,17437.420021549005
189,42776.7185869368
190,28875.18648881464
191,35693.52204921256
192,39098.95244370348
193,16767.602639232886
194,15636.567382100282
195,45742.093548295794
196,31756.61811051462
197,42471.41171018647
198,65179.0306038576
199,50983.1096614919
200,16404.75349479294
201,38722.21510781434
202,73177.68757590337
203,19883.26531289472
204,28763.989432609986
205,5419.964723233844
206,12928.400531980526
207,27837.931642770312
208,43173.269392923336
209,22012.523161235164
210,32857.930589330674
211,18308.73693662237
212,26917.79347693217
213,8210.046603241179
214,6574.436535815538
215,40829.442888513135
216,77033.1611873784
217,55057.85743154527
218,51513.679354887034
219,55359.90650272612
220,15698.987428892471
221,87865.3128119714
222,19172.35455821147
223,55154.43334021725
224,60097.26113361688
225,41197.40716912222
226,48593.64207236391
227,67998.84028527797
228,48324.151397072594
229,22689.13249783017
230,21456.930876603255
231,36881.34941520502
232,30705.099525665057
233,27739.168295899788
234,46861.9079012514
235,18757.501188080052
236,43519.75301856938
237,25390.18507615097
238,34152.47402231478
239,36582.68144320815
240,20236.233949034326
241,22406.567129580268
242,42090.923639829605
243,52431.33774427689
244,18311.748288322433
245,14143.792168646572
246,31595.95213882213
247,14635.13189739841
248,40951.43570383761
249,34990.00022723848
250,72789.0451663981
251,31409.286483969525
252,48057.82890517629
253,45498.557980769685
254,46429.554519778256
255,10839.042198246667
256,50769.28896372638
257,30517.89376440685
258,24455.21412391598
259,35869.87168278569
260,14563.272817005125
261,80689.86345936653
262,23513.75867218662
263,78192.23385642948
264,46280.86993727257
265,76033.3914792537
266,53877.01224863185
267,67064.30876818066
268,34525.53845213906
269,17419.300978712054
270,36202.0891258397
271,25890.87306440569
272,35750.20861713973
273,30228.20029488358
274,46350.695887360394
275,66264.13448475726
276,20506.90412751444
277,22587.6958704361
278,13161.969246086845
279,54775.4386373782
280,32704.822170746116
281,29138.192871226904
282,3332.0492727347205
283,14725.60741756711
284,33276.17745092648
285,52472.06114376901
286,44294.982054081025
287,30254.220567751137
288,57255.02792509511
289,23694.010425813634
290,27567.935206682345
291,53957.52097138305
292,14140.839940590045
293,87506.92108461937
294,42841.03421065577
295,67603.73225031846
296,83704.88465000306
297,39990.84045191727
298,10285.508034967279
299,42931.63490773275
300,46809.4302663601
301,12559.892559525335
302,27150.73644744318
303,52204.33899198298
304,31169.129800887433
305,41475.978734963006
306,11429.107388056407
307,35161.73837154199
308,37243.85965850246
309,25623.150095885554
310,49444.91171317014
311,24503.524614226288
312,51772.314924206075
313,19478.344947113463
314,19957.132006496347
315,38793.36510137917
316,9202.709350482053
317,48790.264558801835
318,35965.79778684617
319,2484.5647419696356
320,46431.20603047262
321,17912.736168485113
322,17811.296632179845
323,28752.21559518663
324,48862.70869334502
325,43374.16444976651
326,14521.471763980406
