,0
0,58956.17393940827
1,31216.393338319023
2,35216.286833546204
3,39867.20716325769
4,26101.519728961728
5,52369.69717932711
6,44808.87943799063
7,76983.21650911588
8,19085.999203987725
9,36138.82458975558
10,24552.583292988948
11,38106.3242945803
12,51409.97953646557
13,34488.32612143454
14,35349.911927650195
15,49325.75207263173
16,49982.72000884569
17,40740.114638432526
18,32310.98146763549
19,46043.59068062914
20,42846.041402024035
21,42002.136400796015
22,51021.11108795913
23,29847.759182431546
24,53238.62038243016
25,35975.396656784345
26,40484.64301928236
27,63442.271666050445
28,16362.81637123988
29,34401.655614647876
30,42222.987494590794
31,26448.423240472614
32,23242.587442017713
33,60164.80283133002
34,73650.16687511324
35,63743.539000849334
36,27522.09137685679
37,45272.90439496517
38,36846.252106152766
39,39360.230009722
40,44478.24669477832
41,51339.27787795215
42,49591.80508272761
43,46688.23276782481
44,33400.09133668784
45,49223.69630773064
46,55644.98760231487
47,52404.53633214118
48,25524.14913147218
49,50470.27270615818
50,17589.322419076383
51,40570.78032912578
52,60119.69927917492
53,50139.16245998747
54,34477.39216384951
55,34176.401312288006
56,55807.45232143873
57,52040.02896515494
58,22131.169097406382
59,46819.46135690536
60,19087.832661758817
61,31100.02071802065
62,57863.868642822046
63,21495.69316422127
64,58418.38484314001
65,30906.828903559555
66,45407.07632072903
67,28592.190744952448
68,34883.63712809988
69,68038.62479304717
70,23062.45831079909
71,49242.19620035903
72,51152.34296407722
73,36777.34968787662
74,28021.63744031998
75,32173.934135133062
76,61564.833542473556
77,45599.78806685707
78,50998.8503284427
79,47707.61156361772
80,60143.34117990053
81,81396.2247046143
82,63625.89706059931
83,42413.87497383618
84,60182.50615053901
85,37852.51826471178
86,46308.74277158864
87,50016.125994779584
88,23088.21533670303
89,37161.2110713217
90,46542.14793171792
91,14948.299169947517
92,69052.25145197741
93,34951.59718729765
94,92017.77816637004
95,68971.64789818213
96,47541.628180264364
97,59991.285346474186
98,28997.833016532557
99,40082.24474721362
100,28840.756064224744
101,26338.663998615782
102,42513.80923622683
103,25811.236496064812
104,46677.13743375723
105,62180.425927710865
106,46566.847131054456
107,44977.11915550719
108,65501.22851903517
109,53823.07301565938
110,19745.22478079593
111,58451.7489978221
112,61205.84644535821
113,48444.57810774789
114,39688.71746087314
115,50774.78144905558
116,33739.91470443123
117,49430.695652112285
118,50148.85431369826
119,34156.33711566776
120,36921.3047937509
121,45756.099766350366
122,54708.65060095548
123,58259.29698534522
124,39487.77732849668
125,29409.848056697687
126,26942.169855379627
127,40891.16423853913
128,49293.04319012078
129,65094.54977695774
130,45464.42626330727
131,29966.574525205033
132,40933.60659429413
133,30318.67547532566
