,0
0,24027.365986916804
1,22411.064056729083
2,44571.38081175602
3,31998.451158963475
4,50240.918986789286
5,14700.649018211041
6,28620.924746216846
7,44911.69150511825
8,21426.77618329405
9,20657.611250200327
10,26922.088958241264
11,35596.942628511046
12,23615.59101652295
13,50046.53800453434
14,48854.756014526705
15,29741.56244744372
16,29571.936143870476
17,51600.31379490298
18,22984.97385886035
19,37241.177547479914
20,32778.65045654711
21,29186.30576539271
22,65495.4135377421
23,21530.887847460337
24,27014.304008348423
25,29371.5066708624
26,5226.7282878012775
27,36523.13746132166
28,44840.79233839162
29,44582.434817872825
30,27501.531189509376
31,32775.44441681615
32,42619.71801770118
33,37915.80918022171
34,34739.26507059014
35,39066.20664586414
36,35185.19965005835
37,51882.652126398454
38,35101.399865430845
39,35070.1615276093
40,14950.025767170027
41,30462.683738045213
42,39116.67721568972
43,18099.781261055894
44,16204.262443067706
45,45964.22781826669
46,29125.695383779297
47,46321.58041027367
48,21687.996117228373
49,50892.98289547961
50,42970.01694350213
51,39373.05858299461
52,33066.52906669086
53,37143.70379218605
54,33808.04584424394
55,33346.02517047467
56,31622.894042569264
57,21722.74058851728
58,42612.77600514935
59,34290.68367477445
60,42044.6162262603
61,55336.36677817145
62,25259.57497542334
63,30342.115544297452
64,25735.616132527048
65,24134.54184332193
66,35080.514734689605
67,40998.94249442483
68,35024.12117771418
69,31688.624613649175
70,24815.323464953195
71,28748.610473427005
72,45358.60710993939
73,33260.37613584276
74,37700.214070834736
75,42300.26686058333
76,25907.619739463404
77,49175.94882337944
78,54688.77555890831
79,32624.723759957607
80,10126.669537946396
81,21164.33329934183
82,30694.791764498514
83,37380.9505242316
84,29752.597654388323
85,23063.366601152004
86,50184.22586309267
87,18354.42837694531
88,46929.25073264842
89,22749.71266049939
90,12341.242843640379
91,46384.87465369535
92,49832.19218710132
93,34028.561365470945
94,31917.762060811532
95,25609.937383853397
96,34474.62851988681
97,34463.84173186998
98,18414.440148365997
99,29607.98682145069
100,26876.133458797703
101,26760.823122032038
102,25670.842468454954
103,15829.651434583171
104,41110.36004161676
105,26793.137989561004
106,56705.5627397332
107,26075.028885680265
108,38554.62525443847
109,26139.886590632308
110,20233.10284946915
111,44931.69743043056
112,31020.50067851081
113,41413.1060200003
114,24623.883399503542
115,19709.519852528505
116,37002.84626811478
117,31371.817877563437
118,41111.99286084455
119,26892.130688180267
120,42345.645725686256
121,19455.46909861139
122,60716.69631580731
123,44146.895645084485
124,37486.890963238795
125,37656.77556874449
126,8154.724467969723
127,24107.571268316384
128,22898.640393219797
129,27483.90862096408
130,41481.9964297155
131,43036.21910494304
132,32248.37562867652
133,23140.576377203433
134,28137.460784417985
135,32753.54634967228
136,18805.388821988425
