,0
0,19407.462944791965
1,31791.56591689469
2,23938.637863915097
3,29837.700562212354
4,24582.746283086097
5,28274.610763334833
6,37641.57931410539
7,27491.657582310487
8,26475.201512584423
9,32942.425299685776
10,25171.651266295325
11,33162.82332736451
12,36361.764027553996
13,13140.20576958705
14,22918.593039217765
15,36014.19280407597
16,43066.764746724875
17,34269.54130937248
18,22321.40250585759
19,21478.345863059156
20,23257.494995072393
21,22111.968835024174
22,33674.53960883929
23,36709.59658638942
24,28710.953795200083
25,33980.90118968854
26,22170.33841509904
27,30021.691964152495
28,30546.08828793043
29,18415.19611628392
30,31752.26966752868
31,40891.74565998085
32,23212.621146782818
33,19360.61856963003
34,36921.538936128214
35,22782.065556026784
36,13227.14287935066
37,35095.645556676
38,30573.020411640096
39,21020.28585376679
40,19601.42127449037
41,11705.48012825297
42,18884.80787382165
43,24640.206648642656
44,17329.75337937004
45,28475.78562717966
46,20401.254083368185
47,23573.10908620427
48,31795.430198901515
49,23877.00863328269
50,22564.709726454756
51,27227.05505058277
52,25567.403211299745
53,23942.263122523593
54,27939.188961297892
55,27035.394181324016
56,26960.46939350506
57,13976.8875138601
58,22952.47788961811
59,19193.56519349158
60,31302.26711844148
61,23181.534374047475
62,32593.194935917618
63,27784.995215689236
64,13065.779733126421
65,39110.60819541342
66,21700.229691928755
67,31660.438045622734
68,14715.259629321683
69,28721.628510290393
70,19618.318673627193
71,32712.179281716853
72,16830.11026310597
73,29076.980018541955
74,23053.72232131895
75,16754.573121775553
76,28889.630360658444
77,17848.987237092035
78,14299.951826250628
79,25078.522498006947
80,13817.793424961063
81,20200.787514976284
82,31155.18662573053
83,36058.687180953726
84,20503.837467012338
85,48717.67543844158
86,22434.39026732914
87,22248.261267784957
88,17595.052262111465
89,23794.52813313717
90,36969.45758183728
91,20225.12451131481
92,34882.89879813213
93,11430.896379495247
94,27925.367779434742
95,16576.577289075674
96,18429.366073659035
97,23093.219836666278
98,28394.11224485934
99,21886.44458189548
100,29391.782782755727
101,33176.17649924038
102,40264.498365366046
103,22916.085448020705
104,23252.861826255838
105,25955.34782555331
106,29571.357891860116
107,25184.700874154776
108,32358.43625417736
109,24559.77169645683
110,28799.75451491371
111,18508.75290633783
112,21605.420931731496
113,34391.390059648795
114,22898.448733314348
115,23912.437316358206
116,29152.665952236668
117,11214.608024554993
118,19183.8925869828
119,19963.596980702714
120,13717.912863163157
121,27905.359092272756
122,16218.039120125708
123,17376.634696792236
124,33279.087254428654
125,19767.469993199793
126,29543.073198443006
127,24957.766769323094
128,28935.51584921599
129,30248.992565233475
130,23351.189715095497
131,18956.108089618105
132,21942.641098832828
133,25784.78130913689
134,27183.75544919671
135,23099.269935105556
136,29161.853681484772
137,33738.80677312968
138,31387.457250381653
139,21156.146035025806
140,28582.044920851527
141,20678.60491920146
142,23118.563585981843
143,27291.197629730297
144,26641.398151534748
145,20476.892278025647
146,24255.007304424846
147,20653.738308992713
148,24318.47150925632
149,21034.35861066487
150,19877.45242096622
151,32609.99010634794
152,26431.390128239007
153,29136.38819333047
154,30301.176301159052
155,27695.4016506929
156,23475.15135905347
157,28431.46619229707
158,35236.240891537534
159,20326.027691754214
160,31427.117000376544
161,29610.00376586252
162,15244.47512614333
163,16321.993752050765
164,25748.835699330863
165,28907.678311057534
166,16079.533694433983
167,41729.66061839119
168,19051.156457000034
169,18126.300157041245
170,27425.42337748201
171,20858.878281035642
172,23811.04836529942
173,16327.229071401387
174,18257.489749823966
175,17467.86110330806
176,22507.433201444263
177,11991.14513394012
178,13193.054113547023
179,24795.02047802757
180,32446.802995037735
181,21859.206165219253
182,33722.81846621857
183,20497.334287164093
184,17050.328000402897
185,23118.128853154118
186,20202.365364049867
187,31106.93782931477
188,21648.948141759713
189,22238.750629598042
190,23961.66425696189
191,25833.85355975101
192,32627.851359675926
193,17380.985198841066
194,20099.434445321975
195,18380.963682066147
196,21515.374380494683
197,19768.347512414894
198,42068.674291470415
199,25557.10118254401
200,23965.365066648046
201,21342.942630187503
202,29974.210309099817
203,30487.299865942638
204,23272.200771635085
205,21858.277979533214
206,28551.796608463457
207,18727.712864221165
208,18522.08931808993
209,31136.788197662056
210,22123.042582759455
211,20734.800223231592
212,13501.97886582568
213,17268.9935586519
214,39718.88860897918
215,9991.543228808878
216,27561.397809502807
217,24025.463330321818
218,32178.550937016378
219,28748.560088558843
220,14024.476416454148
221,26887.95549763624
222,25843.74524625791
223,30013.83392052159
224,9042.72320166882
225,10395.47469101304
226,23740.58589081045
227,14890.21394789511
228,33815.092273864386
229,28791.59357121635
230,13202.152801954095
231,16558.53658546394
232,20454.27754697977
233,14568.27087554758
234,38089.32679307648
235,32302.60169103073
236,24902.168809472158
237,28824.45702201849
238,18270.278571432544
239,32888.02220491349
240,15863.654837940892
241,16850.0047310906
242,24817.035832303496
243,23779.390340905527
244,39330.07268039754
245,37268.107794128635
246,18968.06219227552
247,13363.93397407762
248,22537.74406782502
249,24200.835304771084
250,33740.629175157344
251,19646.659279407355
252,33788.38926944052
253,22955.438841713352
254,33613.66510941775
255,18881.90537616705
256,19324.637431955183
257,23148.802449459603
258,18838.93305256492
259,33100.994767855285
260,23445.962839698594
261,17360.30991572268
262,25275.48031532795
263,23172.01071707751
264,20628.158107833937
265,29758.176618825804
266,29213.21500155286
267,15908.257914146643
268,17543.13934334756
269,32366.94291335689
270,23315.763902953993
271,24948.98286374052
272,19104.885891763108
273,18094.683632061333
274,24448.271881357236
275,19678.427026922687
276,16722.67373878407
277,20254.761238442043
278,27485.596578971097
279,36164.31151576416
280,30254.16584811405
281,22373.163401931517
282,30460.363028611435
283,16501.588127104722
284,21227.899298651584
285,33414.3734959376
286,28177.681082716335
287,28409.562414972133
288,45057.517592878256
289,32234.178394109695
290,28566.566215368955
291,22607.630482815788
292,20254.025939807645
293,27804.2130593573
294,30331.159881205353
295,33266.63903802332
296,21088.95475193981
297,18201.836709003375
298,9923.422809484215
299,32661.773290390374
300,26116.388529051666
301,26495.519188094215
302,16780.015148356808
303,18634.903588000187
304,24704.641939856672
305,20146.910614756714
306,15716.015284564333
307,18765.32055861299
308,37389.814650203116
309,41154.202795065255
310,13458.402987864389
311,30306.16751111237
312,31677.53346044023
313,33915.36863294544
314,28906.9860180436
