,0
0,277334.97829169896
1,294683.7357764032
2,296262.23118505796
3,322817.7785080536
4,442192.26693363715
5,228495.1628034642
6,103334.68431274846
7,257525.23528530856
8,404439.7338017528
9,180629.30348508435
10,272374.89514382556
11,251382.69129504505
12,279611.54681768396
13,227587.53942393148
14,205160.1151908294
15,437921.6096672855
16,305277.5782886718
17,203077.36851231914
18,246439.84528201204
19,288780.19023448415
20,224058.21333673893
21,327581.1207250261
22,253514.01991727547
23,211692.01334544225
24,217801.45973361004
25,269747.826265206
26,173207.75676042476
27,332153.941593649
28,306842.1538384526
29,300941.2641256053
30,267665.79542341747
31,183615.17023354466
32,277094.5815029408
33,242895.35812893976
34,282798.14470162935
35,320523.7911300501
36,240603.2667661296
37,267576.39168452437
38,182592.83743212398
39,268082.7925871931
40,316388.78791462176
41,216439.66211656597
42,238463.73032807268
43,248500.04578514278
44,260300.44616459415
45,284234.8697756134
46,291676.266075217
47,207198.45779078433
48,274953.40877181664
49,267827.9098027887
50,255614.23015956828
51,144861.65354415833
52,391698.06757238583
53,295672.4422310252
54,226044.20009765952
55,230325.9159319976
56,192811.11271463294
57,184645.0747160007
58,353418.7619187648
59,189894.1730119368
60,283847.87582176196
61,239745.33749240157
62,272625.81501970696
63,261387.52298413042
64,276148.01053447265
65,482727.2434251738
66,275660.63124860177
67,122453.31727050497
68,182927.1272513609
69,403774.4943799488
70,285502.08746814163
71,375033.5083107633
72,293118.88526537444
73,355569.64006981865
74,320820.1207006037
75,335487.48581131856
76,318101.1694757813
77,268167.8970757393
78,405243.3276732054
79,249536.88670560153
80,150184.32094398479
81,290465.8962269112
82,274451.27460811695
83,199533.44927559848
84,155651.09895501754
85,242736.96794854137
86,357604.20865322335
87,299705.2618787486
88,343535.95470587513
89,279751.17604818434
90,294662.13615913887
91,321661.1614695332
92,250029.199852487
93,206374.90655670813
94,197432.2737241899
95,275476.1109134839
96,328363.75537573866
97,200825.8627678568
98,172863.12304740047
99,261927.1463437666
100,315566.9540896189
101,274007.9535741742
102,247301.2280419954
103,268528.2544851141
104,315037.76816420857
105,327090.6640682011
106,357886.5526891839
107,269043.22942911566
108,249454.39455730302
109,288313.764194254
110,275609.2695596384
111,262262.47060996806
112,182428.82639498706
113,169422.33862925094
114,239757.10673515324
115,228093.08492990452
116,277419.3788985414
117,239175.42071340297
118,398450.2808480162
119,245515.94057048985
120,137128.68785816833
121,349327.46091642964
122,262268.3967799061
123,230655.669065544
124,186242.2159048896
125,337204.32041649945
126,172452.3334443764
127,295371.50988533994
128,218118.44322813104
129,300227.41743525525
130,177379.5344358533
131,413656.2101372961
132,277460.82190343685
133,311259.0981062935
134,358196.68686487176
135,211244.5464809956
136,260055.82058742107
137,173543.67984011435
138,175046.8028626592
139,336037.5184825121
140,197327.09158838325
141,247862.24807498496
142,276778.3012445798
143,398484.46513831994
144,338037.41250419576
145,357275.444102737
146,209444.9457556035
147,250382.40409143953
148,219151.04834380499
149,282285.61611828796
150,391324.4538960466
151,254831.85379141365
152,190461.73779106158
153,325349.78484304476
154,206671.74911891922
155,180511.5340730764
156,223363.10014673028
157,230429.48922459147
158,280065.4847503104
159,181542.33535422175
160,196340.59297460827
161,169041.33695985848
162,342301.32760174945
163,197172.58736589237
164,208826.1289709958
165,214282.2767276456
166,206429.76441622298
167,235208.83633739225
168,274552.51235149754
169,147313.79659453494
170,216808.3512383928
171,289279.1690773241
172,387593.31333908474
173,252684.11471968773
174,245368.0511534106
175,239949.75544437644
176,183326.6406200122
177,267371.14904340607
178,369595.38297761534
179,255514.3621484387
180,287183.7271099803
181,259271.97416526117
182,294818.7246835526
183,343224.2143310041
184,367586.5463382741
185,237036.6510274141
186,243452.3595866205
187,233930.4095333751
188,230471.70210724935
189,250060.32147339056
190,292425.0550898453
191,291660.19613752514
192,197709.77254891262
193,155751.76727393534
194,331212.1978344609
195,334781.36075738905
196,369011.66476635623
197,153462.0484852571
198,302062.1598446619
199,272901.3983833514
200,250407.1660694853
201,318027.9382013096
202,195192.21989498753
203,206825.9914256238
204,243874.664236824
205,335915.32921701897
206,248492.73502857747
207,168097.7381823298
208,277989.7867136852
209,256842.4764210331
210,192845.87375292333
211,117356.60177375484
212,306239.6286087117
213,241800.49298696814
214,336348.90943577606
215,368694.88552444207
216,366928.3543340224
217,198527.22759545996
218,226375.13299392245
219,227886.42074172737
220,217934.9807484799
221,293211.29834235954
222,274144.8956715144
223,311107.8217671656
224,315896.28495361516
225,295684.29944775696
226,158842.55694478186
227,262840.1792753021
228,238735.3875736718
229,311045.45308262063
230,260156.5893019782
231,336625.68434006703
232,211446.64031185754
233,301240.77832218545
234,184712.69113002165
235,304971.755402912
236,294914.7431620453
237,228923.58998939043
238,323388.7135994623
239,327294.2802532653
240,192374.76201001994
241,152389.32196234431
242,324239.67562081316
243,254978.91661674657
244,238223.2368988414
245,322680.93266866554
246,260828.1169223108
247,271576.38883676135
248,308490.84456884395
249,193647.62420822977
250,234651.1076060931
251,304074.0622167497
252,267370.9222786355
253,217836.205188629
254,287844.0634563987
255,225157.0150635682
256,234486.40285252337
257,404766.80532796215
258,208220.23145756373
259,295235.9182651015
260,251013.11187531316
