,0
0,179344.8824748485
1,195203.82017364472
2,148242.24991146897
3,151561.02569885872
4,171953.47544467179
5,218156.2418899107
6,159989.6816745958
7,123231.0939964504
8,176142.68405139915
9,128056.41074800273
10,112256.22823045816
11,134840.49189505077
12,178113.78606267934
13,191169.33617381685
14,148885.1051091694
15,167295.3003808623
16,137348.48098050777
17,135579.05064360108
18,154430.8636768684
19,185216.8658894255
20,167196.60309839158
21,136722.20562949547
22,128692.2754548905
23,174808.12752799175
24,173000.08799215948
25,149882.8448107696
26,162490.05419184468
27,145371.2162183141
28,145972.47667502437
29,213674.05227266214
30,161186.1453568211
31,132628.54211356802
32,153153.9369814098
33,149192.32270234489
34,141931.6651852133
35,147935.2897281307
36,182732.42226898123
37,148416.3819710715
38,127561.24169230074
39,184881.63885210222
40,138962.22164610506
41,129842.58546140011
42,157363.82402218235
43,145598.95620837578
44,165733.33088846595
45,138855.01491381315
46,135882.0930622626
47,129329.09447057665
48,205822.72361761195
49,144324.94901918308
50,158301.18958294843
51,134456.28063397703
52,154733.92653671332
53,189536.66645317388
54,156968.68376081128
55,147147.02288634382
56,115801.10652041445
57,99607.63525790714
58,165986.65959949905
59,175601.61385603884
60,172443.77015599643
61,117763.98072097277
62,139298.36746210355
63,149929.51264800603
64,149229.4131114657
65,196346.9211958097
66,141573.81664856232
67,199275.54290409732
68,153975.00611256293
69,152932.14854337397
70,99457.88373238008
71,141661.1670589521
72,145071.85233428044
73,212460.38252703394
74,128779.43384603952
75,190238.3794555649
76,176316.59592909907
77,115443.63563591146
78,133072.51163033472
79,134722.73562172768
80,151816.50253174806
81,213817.77519315964
82,165843.72491331736
83,202437.225322429
84,159475.81757727373
85,184803.48342816727
86,124269.01985843011
87,136947.27668018144
88,120287.48607693477
89,148098.83814148905
90,128777.69238671873
91,100145.44166188793
92,132954.5379712861
93,132490.47079023684
94,117982.55842076345
95,166435.15808048667
96,204042.89975163311
97,149311.9296905942
98,159020.10448403656
99,146783.25073011196
