,0
0,239540.00917679825
1,274841.3401558777
2,214970.5915086009
3,212456.42942278957
4,245102.146945323
5,233024.55823532544
6,255463.6350734014
7,241189.70925142264
8,292342.5791943639
9,443237.13622476824
10,397291.97321502364
11,236324.98698140745
12,338501.7635138282
13,359946.1351414557
14,254809.6738063231
15,344309.14732971165
16,285739.9559573744
17,259090.14278699853
18,233650.7964017083
19,386666.67307104263
20,403570.6663406561
21,189489.91155588088
22,353615.3767848535
23,324612.6309951553
24,236213.7572274905
25,339014.552869909
26,263973.498407742
27,347349.2818639772
28,304974.3742956959
29,336314.0427926699
30,288582.92810806935
31,323890.9804138511
32,298385.68718334107
33,244224.73881232468
34,245453.19363359667
35,380264.52137070964
36,244616.64821940084
37,225210.8080509489
38,320324.1250675755
39,319037.69712650223
40,211930.3436773422
41,297244.3883291697
42,281785.12038535834
43,326208.60713497596
44,258366.78478268822
45,210809.19402229387
46,260739.99393130027
47,151208.30940697895
48,322041.84612256475
49,247183.60739754137
50,225407.04337708536
51,322892.14803921914
52,220558.27256505177
53,441421.0792033688
54,248871.1212363798
55,311793.0214619506
56,304810.4424883809
57,231780.47788199226
58,348258.0715419777
59,372077.35472331697
60,273299.6668844194
61,329034.25960175623
62,405273.2679103448
63,170071.50181899514
64,242497.70533542542
65,177627.03139886656
66,289133.21675466304
67,289651.2074761414
68,306078.99131378566
69,311443.16683584
70,342586.8392396611
71,254976.7650164587
72,257367.7764337867
73,331894.29671238834
74,253642.301807781
75,310769.12592766806
76,212428.12576513414
77,293063.35868582013
78,277595.1418441304
79,372135.09901976766
80,237168.8316095653
81,359330.6700614621
82,279026.40811254305
83,339341.4079175884
84,309836.37798180705
85,356416.67229998915
86,256053.0506662365
87,335645.7282184991
88,434540.1398121974
89,251968.6979205173
90,278634.459304751
91,301072.92348454054
92,342318.3947329124
93,278586.6332471031
94,191657.4459161338
95,185014.2757760339
96,226039.7110821039
97,259670.34701188747
98,350878.95493008976
99,353484.6474112348
