,TTF0,TTF1,TTF2,TTF3,TTF4
0,202820.32210731567,221350.72489951213,282404.43879032996,263730.3501926061,299961.4619031105
1,253738.2130619226,170735.5640158733,315252.0927880587,258569.57998106573,156814.5930037775
2,254607.93144155113,184850.8704738893,292272.05778962065,215282.84071440747,387430.29945150815
3,230619.85769696906,344218.0248832348,344179.73057736404,214113.0766340804,478982.749582952
4,271132.5299286669,198051.0779968107,193752.69174072592,287309.01964729757,382333.7315934664
5,316011.087282086,209324.2286127809,309202.9781865449,220258.24504930998,244678.16429595117
6,148676.48535833327,242134.0947367651,195541.727913144,435711.31099647854,169229.31686190586
7,210180.90090903887,156766.26573007496,242648.61165843235,193864.16623012818,439002.1293571431
8,209088.61613189362,230451.24289114852,263104.5873104951,213694.7198801283,317599.68384899356
9,236780.4892406147,224258.9062834965,376088.1635039998,300878.6543960833,259653.31638974484
10,474316.9605772191,174440.38274572155,237171.17902241595,291880.5172552087,384653.67667305574
11,105794.46352886548,182197.14912405977,238682.96504997986,243977.36723168948,320698.59698403266
12,200162.01273045066,157190.7976402855,265523.1330855365,224962.0827498568,381146.7448490223
13,254451.04340783466,227946.40649190964,256891.8427127096,371252.0521410216,373006.4397981015
14,128984.39814881474,167988.6789024725,354288.60744839034,269344.79961423087,329289.5738597687
15,77931.76560393353,259339.9044990623,237385.4386688267,346356.1771007207,355491.3670080099
16,160365.63806712505,348623.9717341964,219618.19436306742,351750.27006164886,231531.53032451865
17,266156.33808335866,348474.1315175417,320559.59502867813,376334.84797183564,296777.4811825472
18,151818.8565608912,226955.62336070044,297137.83239591256,238779.79294026244,443997.0107652169
19,257126.66685622933,236472.5090212322,278157.6536736032,226332.41736572236,313435.0446882747
20,174727.15467536682,325121.2991367634,278282.0896662149,205196.6682685382,266823.0370291075
21,147938.56059147447,326802.02186223096,288203.7235360495,232692.39266840424,289665.41488190915
22,239551.2664578122,290214.0057349102,368007.8541718502,161740.2018009475,174748.81306097485
23,184876.97814037706,314899.47416891303,504802.3440723439,356880.25671051716,397338.2964488954
24,172545.3641316453,318998.31372567476,226660.0769109613,305505.37727881933,245014.75973041524
25,203634.9673485243,171880.7995261018,311796.11003634287,316841.93407074246,290068.8823159949
26,228505.32737900803,140307.26501926276,216721.9350541565,232427.13875625958,245397.76651075092
27,310486.16401673877,329982.77625186817,255268.82718750698,240207.04378264298,401707.81991853705
28,170555.32295639452,232363.88625350693,197108.41153353485,238584.66084757587,239903.9278421092
29,223955.07345094057,198093.21509408977,300145.05640147754,264532.7981302133,265399.06526527577
30,208316.5123454993,228788.68345836445,231641.33938711978,262465.11702976475,283579.5904906976
31,166728.64107806198,124035.25144646635,226187.6080393454,300319.8630766984,183538.5806297756
32,263457.4092050166,386831.27312806353,177295.39251088558,196248.0860489364,273495.9021597196
33,158279.2846193239,316690.650927466,256200.81743144392,346362.8639765382,258721.82835701457
34,86979.28279771013,279565.577849598,293833.2688304611,177735.6572458024,319660.87431301584
35,215191.4170028658,250971.98372361797,340193.94551278406,278618.87796034024,384359.6835800488
36,385118.08118524053,423291.4496330543,359759.43799951766,406729.9514941289,244336.35946015385
37,330639.44152596465,423203.9223542477,119527.26068135444,457818.55858308997,257314.23223798195
38,360641.11496551917,209705.9932573816,206309.97041793316,179943.89029746037,225739.65472499531
39,244551.688133356,342350.2435706445,321400.5511423988,282660.5292831905,282130.2848649074
40,235296.63315938725,170879.02765478526,233841.58377713562,291370.18924288586,229978.30767239805
41,148520.69194356725,266034.7182315901,294139.0973828352,246873.5702982833,233760.36038352267
42,239050.22183462785,187764.5373419347,275809.7819663705,364206.8391923501,242573.60443270896
43,138051.14109435183,184023.17509749287,236924.22989098178,299494.44423565234,283983.31077488384
44,289054.49233330274,202749.28427230965,322681.4468429477,230698.41593585385,468369.8526303177
45,220708.00717075597,169435.89347999793,206351.75027666418,214458.56131652585,292803.73371931864
46,132203.15594629635,253898.00168038395,198314.09843023814,200999.8525242299,271405.4165825296
47,342530.99742087896,144469.4726178422,390841.875173909,200624.53375783344,296971.94848015555
48,165195.2942073462,210358.37361251214,205899.5997593954,341388.6738783192,230680.8234421554
49,258870.7688283441,233108.0694448476,419018.7413439529,335926.4466129313,270162.2680914191
50,387826.89067739935,195521.76612745295,310636.05814283545,447154.43656849297,382978.92905884323
51,273301.00852529367,277060.25680728565,205814.1631169442,274662.9309557439,283299.7843282916
52,73642.05439027984,280652.8965263917,224676.11030258704,272139.5874500434,342044.5861617644
53,232322.48005614,209567.870494125,301291.91446645866,330047.1754231795,334695.3726596397
54,248646.86555055564,99011.39999733955,260520.62097243732,206177.03951320815,357530.7285524528
55,249427.28746725334,150424.62358497808,233754.1676663315,249268.211350028,347226.90533640655
56,346290.7034382645,189590.109456345,228336.34225001774,195582.93331485376,261176.43321575323
57,228408.67826882534,300107.40752375,247844.7428792583,495655.0572947768,362260.2324811886
58,441605.4722512114,279999.0405401691,311210.33973380434,287476.9501393925,158857.07193200555
59,171541.83098231157,269671.7892530889,351187.83719642507,280989.52428247937,237321.48155639978
60,409323.9327849202,201642.36722440837,149411.99720864225,381997.8728755059,261266.23065689782
61,210797.64896413372,117536.07175350576,133127.108902793,265399.4757436338,275134.70693259826
62,83352.324277112,245778.14365470933,285204.79013261053,308532.14050219953,268270.1943228792
63,206468.0539370868,265021.95580174506,168953.39420462088,208262.54595936206,330760.22192414
64,314436.53764454013,228638.0571437582,354316.88715725264,247828.97071378384,303674.5812513048
65,277574.73280735034,206956.9146066421,295103.79807791405,284435.45754998084,321447.9857826957
66,173129.06401065327,181848.2233359696,171262.22958061198,273243.8161746616,181087.62247237717
67,70409.86254756097,382162.2498006408,226474.8344275699,176579.86455874523,308792.3861001119
68,153053.15080295806,177357.25579355154,166672.72103095584,308511.80320171185,239721.93514853666
69,192780.2193081126,323995.31376644917,251403.53457438952,184937.9386253631,319973.4160354491
70,201101.45703121126,193961.14719811318,255177.0327580325,353882.4206210673,297511.73629354395
71,192855.19715120774,307854.3749047902,153105.766804425,202276.35088605527,350291.72856436204
72,287385.800177477,271334.9689199994,276183.48312181805,218969.2146764514,230405.85848810905
73,135240.51512590362,406532.88478023035,248690.33961061176,205309.61924696065,216723.72417956535
74,196237.17501090933,399549.5201084779,476210.9528023578,344711.46302230307,334935.48524958396
75,169539.88185412923,256958.22400971962,217010.3662840214,290637.862813013,208975.7459123533
76,95338.25313622353,186120.41146357107,308935.6871678195,164369.77758582126,253941.06051156457
77,229602.5636964107,337692.8646440381,263302.6710494838,317456.346358954,206734.68700443505
78,222816.94794261488,394033.1329032373,366398.92823874415,261691.28118769586,456743.64017715
79,350228.9921704262,302867.673763952,271415.90009186615,291645.6311241219,434935.5529910143
80,155155.40927377815,221298.59094548484,283985.5486001287,343201.27440818003,210014.67886497724
81,244037.95614901808,267064.6918052352,159035.71314872167,183800.32199784374,358985.5749315155
82,162637.72658350578,175389.20856172463,178671.74332802778,332839.52815520467,228889.8060657662
83,319158.9793871072,173496.94253553206,249900.02218236253,218778.8470068572,255696.6961672004
84,264646.33814373787,171262.84489366913,259011.43836901424,346520.8878224107,488160.76043761685
85,251006.55178496442,201357.40359235447,337617.38396425487,370021.5158939151,251310.7427869859
86,350831.5114414174,191800.4853052685,348454.9298693417,446165.50953713956,248625.36905969967
87,170967.8287113399,262547.14512698725,332997.5928612954,242538.49977889945,414616.0145669677
88,266634.2801058619,189192.315837547,190940.9619907168,257897.88658515923,301937.8912400435
89,168116.38287011776,206334.0235726495,172261.4288935127,276883.4692443727,235909.43254321735
90,260229.23397898447,324565.6397204178,189284.40053079976,298607.5346285589,215548.82665437175
91,195082.0214730587,335149.65427249274,309653.55487033026,299426.4332378814,263117.63234011637
92,323068.81268226285,117103.68223299137,359756.5364336278,206678.95961124325,208881.99016968877
93,246361.96483409795,251633.1315126448,298564.09909134556,314758.01005426876,271303.8802706363
94,163231.57967102109,126926.43139608832,327201.10631220316,304216.639703574,398143.70654237445
95,229749.6057428114,299166.5300558649,269248.22718724405,247569.90459946846,348442.6733679508
96,155796.1992562684,304015.24849848915,286635.1450778141,176602.1660233025,382001.5409005938
97,184084.9925708613,328759.7342881437,382717.0088841487,235384.72040859706,274062.3589722125
98,181869.53116954624,354919.3439720555,134872.7200883935,450684.57590135105,345126.7013040368
99,304819.1927324167,278992.88619162305,298827.0930813424,178595.5422726227,259465.49050719553
100,198747.37113166985,211435.01296964526,387479.7177487391,282374.728258312,297732.74270001857
101,274573.2901415442,252844.33821905716,411607.02118957683,349649.94598562364,352657.8557463053
102,173560.11498052784,286089.98016842455,368722.23736062675,329468.81698829634,416399.15138689877
103,236160.55113820182,165387.17808875078,253030.11517492172,351042.7578312021,251050.62418500433
104,158058.36774517523,151804.29178957507,297457.51880054106,303711.8088250824,294196.4403505984
105,223431.8222086548,293633.82103545015,153924.75472493778,133396.84720803908,225494.7019827876
106,216310.5812402625,315329.0541626334,211357.52727538487,297932.2513197203,325029.1097706855
107,86691.202161732,224665.01126364036,291583.5638080156,204295.405850718,523565.3798385688
108,286996.2257553276,159842.38440325734,241671.08268722054,293003.5069937984,440116.500325902
109,243601.57560077377,135887.768684857,271811.3667725721,238058.49655047982,267661.3076671073
110,153976.57599690248,217082.29228130227,256940.55787575542,244773.7389659863,385076.465420347
111,269946.1176364669,285909.28291721083,232494.65810693873,260018.78520632943,371808.0956853379
112,230219.86666304708,167299.16213982907,250436.18186994552,150058.47022372702,236055.38908108752
113,405146.3492462499,301473.46886554104,167579.96956103132,230105.66609717155,440492.0885903174
114,240083.75435846447,309633.4795083444,302263.5047957454,267549.34236651234,339864.0708373147
115,257034.56301739256,334785.63294383197,268663.0300654216,344255.28296127194,409445.5661277586
116,210568.47659491142,219768.1975057646,208744.4153705881,318070.77844015753,218679.93755483688
117,222368.99325942577,278381.54392278346,221155.77361629868,245996.01895410707,207135.75846717495
118,213405.25718240184,313448.0265231599,252566.54119870006,260592.18592256817,272250.0223221192
119,305371.3948440637,307334.7313293308,235327.36935112037,345183.4709134069,294944.3987732255
120,238202.187291372,334673.19100061024,127952.47966095165,241719.54183901002,340860.9602982757
121,209549.9206506232,149409.71727402715,168590.98974704777,181205.40078996512,213072.95917566182
122,296941.7837648831,107470.17941251569,163607.96885154108,400917.8105024385,238307.3241412055
123,341484.9790211335,289500.7057491659,320551.3724286129,370733.72625629045,338722.3484980479
124,249211.9409565346,369978.90795389074,236436.32604914604,304081.0683025876,398593.88136050117
125,317900.88597162603,228087.29468781952,171056.95956322196,210916.96636617725,263375.3124890481
126,191230.1682700245,296589.9248613935,238854.42460930374,279671.8567353824,294884.3952530616
127,192146.25983980965,206039.72355683846,354396.8641659733,298885.1157758935,266368.43827307806
128,172921.7081189069,394541.9534982384,205015.47496938866,268041.89851588075,174219.1451074767
129,219459.23343530367,231694.03867037085,256131.75076710334,361028.02050815674,387272.74967539276
130,131782.86021413095,414080.69019575295,464884.8613255778,344162.7268538502,267014.3474336567
131,450631.48578268115,233613.3877078657,206481.45358119684,310329.17031150253,283740.73613543774
132,78528.57988234043,150909.5546873517,231203.84877565052,262184.36903147714,303062.4582247855
133,246171.66580259165,327712.1009046835,158024.4222530109,306947.8231173963,271513.778701007
134,71095.52890756771,261032.90799603425,283867.2310067562,281093.7726076074,316928.3980306806
135,246672.68887241415,196363.8461670673,259798.5032699668,208318.71836617478,425571.78753863066
136,340614.26836101076,331179.146205502,154543.31471748027,251850.41142652376,230829.7417864985
137,220221.65773018915,174221.11840189045,218190.33178550142,406579.26410395914,341661.56655627844
138,192055.08415979956,128227.09134008683,192094.27124326545,195156.77441757446,191031.66524426718
139,228609.44191068865,224322.78201604035,280321.10081922525,293511.7022252053,233041.83222750365
140,170331.8992463539,245336.34073436796,308151.0899369457,434615.9343095409,456801.6011873424
141,273530.0086152912,89638.30233177902,331767.00573025295,280540.8738427404,292322.524859578
142,113926.54797225537,295268.4257882057,399680.4355491781,239564.07472776,328100.71013945196
143,44242.0048183813,210321.69558809453,372081.2734355032,435716.2898206822,336561.5904111945
144,272762.91916106065,199295.554009113,329917.6944094612,184890.75465425025,270726.2541604453
145,144774.089933374,265229.9280661737,217235.64953543624,162942.88728612108,343249.7869071018
146,126301.67511403162,261952.80883216969,281422.0336989893,281479.8586127416,242073.05396449412
147,228135.20051009124,270206.3471871859,256228.64035933302,389861.5488908339,283085.7147991715
148,123592.8211142603,252657.37716476814,166085.02035729575,320447.70845104166,374324.09066237917
149,200531.20998887855,251423.73152717872,276602.85878925235,343832.6056592491,500072.82108699234
