,0
0,221350.72489951213
1,170735.5640158733
2,184850.8704738893
3,344218.0248832348
4,198051.0779968107
5,209324.2286127809
6,242134.0947367651
7,156766.26573007496
8,230451.24289114852
9,224258.9062834965
10,174440.38274572155
11,182197.14912405977
12,157190.7976402855
13,227946.40649190964
14,167988.6789024725
15,259339.9044990623
16,348623.9717341964
17,348474.1315175417
18,226955.62336070044
19,236472.5090212322
20,325121.2991367634
21,326802.02186223096
22,290214.0057349102
23,314899.47416891303
24,318998.31372567476
25,171880.7995261018
26,140307.26501926276
27,329982.77625186817
28,232363.88625350693
29,198093.21509408977
30,228788.68345836445
31,124035.25144646635
32,386831.27312806353
33,316690.650927466
34,279565.577849598
35,250971.98372361797
36,423291.4496330543
37,423203.9223542477
38,209705.9932573816
39,342350.2435706445
40,170879.02765478526
41,266034.7182315901
42,187764.5373419347
43,184023.17509749287
44,202749.28427230965
45,169435.89347999793
46,253898.00168038395
47,144469.4726178422
48,210358.37361251214
49,233108.0694448476
50,195521.76612745295
51,277060.25680728565
52,280652.8965263917
53,209567.870494125
54,99011.39999733955
55,150424.62358497808
56,189590.109456345
57,300107.40752375
58,279999.0405401691
59,269671.7892530889
60,201642.36722440837
61,117536.07175350576
62,245778.14365470933
63,265021.95580174506
64,228638.0571437582
65,206956.9146066421
66,181848.2233359696
67,382162.2498006408
68,177357.25579355154
69,323995.31376644917
70,193961.14719811318
71,307854.3749047902
72,271334.9689199994
73,406532.88478023035
74,399549.5201084779
75,256958.22400971962
76,186120.41146357107
77,337692.8646440381
78,394033.1329032373
79,302867.673763952
80,221298.59094548484
81,267064.6918052352
82,175389.20856172463
83,173496.94253553206
84,171262.84489366913
85,201357.40359235447
86,191800.4853052685
87,262547.14512698725
88,189192.315837547
89,206334.0235726495
90,324565.6397204178
91,335149.65427249274
92,117103.68223299137
93,251633.1315126448
94,126926.43139608832
95,299166.5300558649
96,304015.24849848915
97,328759.7342881437
98,354919.3439720555
99,278992.88619162305
100,211435.01296964526
101,252844.33821905716
102,286089.98016842455
103,165387.17808875078
104,151804.29178957507
105,293633.82103545015
106,315329.0541626334
107,224665.01126364036
108,159842.38440325734
109,135887.768684857
110,217082.29228130227
111,285909.28291721083
112,167299.16213982907
113,301473.46886554104
114,309633.4795083444
115,334785.63294383197
116,219768.1975057646
117,278381.54392278346
118,313448.0265231599
119,307334.7313293308
120,334673.19100061024
121,149409.71727402715
122,107470.17941251569
123,289500.7057491659
124,369978.90795389074
125,228087.29468781952
126,296589.9248613935
127,206039.72355683846
128,394541.9534982384
129,231694.03867037085
130,414080.69019575295
131,233613.3877078657
132,150909.5546873517
133,327712.1009046835
134,261032.90799603425
135,196363.8461670673
136,331179.146205502
137,174221.11840189045
138,128227.09134008683
139,224322.78201604035
140,245336.34073436796
141,89638.30233177902
142,295268.4257882057
143,210321.69558809453
144,199295.554009113
145,265229.9280661737
146,261952.80883216969
147,270206.3471871859
148,252657.37716476814
149,251423.73152717872
150,335192.47931315505
151,229523.88131442684
152,306476.0026358968
153,372046.5068609647
154,318856.0649458465
155,209856.96818225304
156,247234.864425077
157,335118.7688038567
158,218606.74528233687
159,112590.14614638379
160,267571.09738929104
161,161316.41184415587
162,251590.27131842682
163,318494.3776693188
164,261748.5560363515
165,142961.02950444908
166,173385.33094582966
167,189381.5004323212
168,252771.65903351517
169,145570.48485262235
170,449419.68666110106
171,254787.1439110392
172,197069.19570229924
173,229120.73002666427
174,203569.96411018335
175,143703.71977320846
176,381912.1437017956
177,301333.6696883153
178,225914.63945271051
179,265947.455570018
180,277579.1182556862
181,174615.93616304608
182,262750.85586398933
183,250510.53044908398
184,211910.2422049974
185,256981.03114083837
186,243212.64124418405
187,203627.53834494206
188,290210.3834089873
189,341871.4399071055
190,301684.79220639874
191,199185.3086008497
192,299468.84545824723
193,230527.51218413864
194,285640.1356006003
195,247444.5444916226
196,384534.9333369828
197,97937.66834245603
198,184506.86904786155
199,251048.9082962815
200,159730.86019863503
201,290537.3246881794
202,173292.28961058735
203,208015.91811752986
204,342936.2842667095
205,112359.21667577769
206,162512.96983788503
207,209233.72885295746
208,310978.6078724876
209,201293.17048771863
210,248606.44047757957
211,279092.35473182175
212,240242.367529523
213,407420.9585630753
214,194030.26080933423
215,245097.949639678
216,450680.318366021
217,225257.99883710893
218,302807.9601808047
219,153241.91925411532
220,180964.48156662498
221,164600.99352760703
222,347063.96516868065
223,355834.69144983223
224,200195.07643396658
225,244187.03398736301
226,189012.08729199582
227,278519.1194876586
228,344484.7366037213
229,227452.85514010003
230,295251.0841789802
231,212728.9758167171
232,311555.2845368591
233,270890.0260203612
234,366105.0066334563
235,167071.51971194378
236,413308.9802547043
237,372478.75951523334
238,283125.9651519522
239,206511.93776438385
240,296155.96365035255
241,170544.16272329303
242,196554.12586865324
243,461478.59013885923
244,179741.5503750464
245,377085.1762153183
246,237403.03626818804
247,264460.7462100786
248,367007.68972683314
249,183631.6920178631
250,189322.18738047167
251,187977.93718606047
252,192733.64701644756
253,242323.6687410195
254,212607.5129280128
255,204015.9487620418
256,131279.11684710335
257,395731.31126001535
258,179085.50014326605
259,159817.19973039476
260,282927.47124398913
261,219432.61765655625
262,94241.29570988315
263,417006.151146273
264,285302.05660889955
265,322883.4032854433
266,224915.43519109685
267,121227.92481763264
268,166708.37266545504
269,331709.5115886618
270,220486.45585503863
271,314611.47956548585
272,81840.99419198673
273,144851.69181200495
274,351805.08826444286
275,261701.23712656752
276,365531.5597121284
277,368433.66904868314
278,306327.07987842645
279,376768.48109450744
280,97389.82990994451
281,139112.7081295732
282,172775.9419411186
283,232259.04209383953
284,156253.98525258337
285,120053.95092727742
286,323373.8416318859
287,222095.11913622715
288,206618.24801249037
289,296133.38580649684
290,194898.93819517497
291,317673.05086443154
292,164549.34527107503
293,229048.77681899592
294,261311.78197849027
295,191943.47870405586
296,254207.44496001842
297,311927.9710390082
