,TTF0,TTF1,TTF2,TTF3,TTF4
0,183309.34898508782,159859.25489006378,189225.28627855546,159092.8802927285,342374.3908494093
1,182916.37988072008,233936.0071790972,222886.92272447931,415620.7834758194,340493.8694742755
2,176829.6106124385,240293.35895970828,182323.76196248014,313061.1688995364,387865.4097121889
3,321564.21743432,148583.19223665356,301414.8157156977,225841.08035455746,232046.58799817183
4,250635.2792134434,342827.5064784874,394753.1324890013,251177.91031201236,297860.0169635292
5,193720.51546631948,219601.1870762032,441686.53480649326,306750.6346112415,419766.45905639743
6,263550.4788371152,172591.3356810433,188602.6783537527,208554.783088724,238216.67984288014
7,323082.3196503313,170697.3045851956,273872.2867520646,234489.62589296044,208514.50056661727
8,290742.00119120535,300117.994166222,250854.9319581492,211150.47589826127,341166.6962436872
9,256324.54667297855,194682.39110273085,220293.48040327596,258821.97070609915,405041.0908781979
10,151352.6623955499,276432.1942839975,225258.02830852038,329412.26834796695,219036.70376159245
11,195115.56369941583,176678.47428462634,213469.39651628863,242746.34361097318,200385.15815347014
12,182794.97531322407,206102.78283255914,386630.4882520364,401432.9551882725,292396.43945051974
13,357902.3199794113,287693.69567868457,289127.48431079404,187082.70721279978,364628.4826208716
14,227147.6570119334,274580.57263505086,254332.81632902735,373310.96678326826,170846.644685297
15,307036.6198657331,226906.86293145368,243269.8629333559,268297.0007862072,219237.90688877358
16,249990.3240914485,204113.7398714996,229023.81234206687,361031.70616833586,313354.4944697355
17,195470.79399871553,202533.27318219753,219386.10533037042,433584.99913442164,395169.7804390874
18,138826.49498938047,184219.44536401736,212061.38716007787,186187.8582106618,328882.44415662717
19,120604.10550186937,117756.33818357268,253720.26920094428,235540.36183818258,434232.4162842154
20,324727.8016226051,87167.21551941645,294218.83169068216,387048.4358538617,383690.7589957777
21,401455.9407092669,228952.46851112176,212003.69471934868,322504.3149083833,254867.00375272796
22,187472.26550339523,264315.8212086159,290517.01220934314,323943.89389424346,392570.77680213924
23,210313.69588657946,255784.7771426922,222689.61595844067,314536.17363854474,333262.6129428977
24,248526.79873695556,307268.788732558,317666.948370551,263220.8060187249,191749.72259649538
25,122284.07095695322,303586.52258607594,250270.9317534036,338308.3310004375,341767.04716754105
26,502039.0632555108,258020.5478301913,259616.65347661427,252464.14436065996,357482.3409540841
27,176753.7832544503,424877.0139077814,348563.02397352934,233309.539725901,374088.9146999559
28,85007.86878280736,193479.0797747935,340881.3475655231,263621.96711208794,255873.20857625396
29,208073.29256031982,322974.30354142387,392587.44123562716,331326.1740371698,367379.8598128934
30,237024.88111135006,382628.33144912764,241487.6566436389,262380.67273666884,242456.77407759984
31,286912.5203651245,246026.67322871138,304697.6156743424,364763.9429998177,227291.23732404946
32,88231.05767286234,309605.71235774504,269001.2159304675,260046.3082866948,289432.7434314019
33,233207.7574306809,416013.13874739915,249412.92683108777,360374.3985198486,264371.3967423252
34,182314.07980678187,186823.31385315466,203522.85251945,303588.75257509254,314271.8142364415
35,149941.53523365495,156723.05896593665,255907.01741464157,241397.31806499718,189224.00990991533
36,161933.0781496826,301676.8358444503,160768.47611963394,276478.8114554707,321389.9452587194
37,160742.57720026476,173935.2592608968,313939.82252459944,268269.14087937964,356586.4539036636
38,142019.0135692546,335522.9850688814,237362.86411703343,325710.24867784814,243293.47784667125
39,327017.8991455777,199224.16064177515,278631.47504915285,238138.6153391177,377576.3794402558
40,326101.20691338973,218951.5074562313,265751.6613691269,313586.3760906775,278712.4061935834
41,245715.53171782364,199728.89378365868,284583.0371169398,283453.3982463437,325468.0190269768
42,250586.94981004362,229097.39773252985,359383.80867298367,252818.2385049658,252192.29465439823
43,182431.34896489885,314705.1284687108,458165.4026743382,401804.1114497802,190688.79553959466
44,228880.7380790514,211751.64201482985,244398.11772064603,142996.63168919587,274090.5340378664
45,167807.58871700912,111070.60118178715,381705.4190358903,330065.3691444356,440475.91365376214
46,138703.56595214846,261741.88250572843,211996.0564805828,207312.74627314621,331961.15490479826
47,304555.2880423589,236074.39304878216,363102.64164735936,272510.590916894,309591.24975135655
48,196468.34476428715,210592.21716841968,257155.18154270927,220319.62997650818,205377.44422538445
49,257929.98488074038,197914.09028085298,273767.8915103437,301479.1097124835,247097.6702609797
50,261269.84857478098,263808.0966203187,294860.2379258601,264535.75862460287,252251.94696554623
51,156799.09500844692,191102.99934026957,297454.4088826733,291917.39902008296,198199.18240283564
52,246115.0813132782,307085.14056541916,213797.37824034994,349869.25156466843,450651.63126101217
53,262492.8016230815,262829.485568756,260978.4544984131,221985.13781242396,389413.8555851583
54,307742.2399246033,186403.10021590936,250469.42426900516,350534.4203089153,301294.9744058585
55,137093.20181315384,296542.30888137606,404394.85050319874,258403.49504174283,250448.65745435777
56,115004.96748530088,130310.1213279101,127951.0011212963,285476.20872689877,253216.9198682918
57,61925.59315622625,255007.51639411465,289413.5554891661,351989.07666597876,325980.0652552369
58,367916.5798308062,169774.24991657044,224022.5451805406,218887.37125505647,404635.6402495027
59,171793.8473258195,284958.40616676456,258100.22610257842,279933.5939549672,211053.16027227935
60,199263.7133106568,264968.96959534945,305876.86907818785,310626.86220855167,291406.26378512563
61,211802.94239646517,196301.55076160168,235986.25651943698,270880.20346143947,296026.001765022
62,459534.2567919484,196209.92574480255,238560.28814924613,238137.37919252747,274936.67542041605
63,183367.28873320983,393364.55128620594,361522.4901583417,276851.17722393945,300042.19914488913
64,84364.11629137488,232476.78229676487,294891.8476380009,314056.7310164184,475291.335406411
65,200964.34974123823,183495.07453189377,183458.81540024607,388673.0222156625,358329.4035568432
66,259257.96481111017,141580.91875595815,294280.59186884435,297087.92454328644,314470.1624656742
67,218093.08274603827,278745.99319113744,217810.23799175755,239323.19313137006,310976.8268921462
68,173446.88982109659,143793.66343926528,199613.11581643042,212755.84054275622,273679.70710927993
69,75962.30484758878,345453.1255120149,188544.5097772958,271364.65445201425,201773.74947583792
70,152950.10129787435,336622.4316191196,207300.48111886953,331201.8603450942,292559.0769762123
71,237370.04078787277,338795.49770509725,273720.8121300542,205381.67425013153,309542.64267745905
72,107490.38592704803,88228.1164262092,373588.39628366486,320866.8593760553,262150.4477762097
73,263892.00186613447,288971.0359451262,262904.76290901785,308429.82780982833,476736.03070796665
74,238035.87683420168,259250.4625284833,252850.77288124265,260333.96360009574,204885.21057509666
75,325775.50575343287,423082.7066229453,267007.45779267885,257987.04927208606,159378.28637896758
76,193869.50866845215,300507.7927342319,293315.678944929,264202.4748733917,204420.72483667123
77,69646.30741705264,209772.03277911813,199947.42562162914,305686.90689316276,284852.6569443336
78,182556.51779714035,242891.4293597944,281932.3395293681,421406.55377003085,206774.0232316324
79,236013.0196892291,325235.9449680698,212902.84486551085,322160.8206119288,293517.7549261236
80,216023.83398898446,397305.5914406203,290222.56827044045,317306.5746677021,288978.44041064166
81,253000.30441260658,275877.6805063748,258891.06583675055,164868.61185186903,200032.19475690555
82,337959.9728797159,148607.76933585925,153096.4420511538,206781.04393654384,225487.92058247377
83,193210.43854222653,98550.61169187611,314822.17402479297,222698.23778769892,355765.64342165575
84,393976.254706293,302685.60592986003,233224.2324444773,170945.84231211813,381101.83460033825
85,273973.6735389377,270066.0214847161,518580.66362867435,314426.80928088556,315377.478758649
86,175666.06352950973,320370.5733376765,378273.1260289722,453759.159835225,289690.28560822003
87,116117.71105770639,286952.80924287083,191749.93119858994,247426.70096866591,232669.07880191965
88,171593.266429863,235754.0217738624,364269.0141705677,213042.2636221025,353892.85577148595
89,216733.6021309792,430683.73710380145,180665.68953136983,142810.270376276,286480.4139683294
90,270920.3052526372,209505.36346309056,179089.40050090896,217164.2885741647,268190.5430021427
91,316086.9131484586,209941.827026129,327409.2016461206,315960.225998567,193840.8689636118
92,215215.23080547314,380214.4641303338,228336.2301484576,167734.09686836816,289214.20379439986
93,299771.1142025159,255053.161249681,381875.509485816,243146.9948269228,293241.06224997004
94,273978.29119604616,301613.4791031737,229840.10283463792,171990.70209200005,189753.43182858475
95,280510.32504937315,213737.99849016775,202638.67697187106,321105.2952916052,490356.66672815575
96,239703.93882074353,376101.8830195783,165220.94368554399,368421.66042835516,237944.00151245753
97,198302.8830516937,323623.676709564,234795.8094001664,302527.0689393317,363276.23337880825
