,0
0,141049.71052583714
1,180299.01020735165
2,123383.18671086496
3,374264.2641630444
4,313142.22351134405
5,249826.60344256248
6,185698.49934971798
7,179566.8918985235
8,260598.06710711608
9,77220.72256668251
10,239723.50845659326
11,156003.43988571185
12,224349.23866911375
13,229714.42761955078
14,118342.09545888563
15,344829.8207250294
16,192583.06517556735
17,180102.2742761698
18,210203.1515518578
19,130802.65565800111
20,289204.2585852365
21,180247.802271611
22,94894.3438144054
23,180404.21096484223
24,195724.0261871062
25,182817.45041495806
26,188183.62506510626
27,118764.34357630256
28,368983.6133753112
29,174627.45660281373
30,120717.8894262058
31,269411.31948263163
32,208693.71141634922
33,174091.0758543133
34,215771.20625271893
35,199523.56451888394
36,368754.6891858162
37,292325.90150669613
38,262307.86670364894
39,230298.16944404994
40,214760.09686841944
41,225753.66500664016
42,220630.81285718104
43,241898.4241638787
44,176838.33195962233
45,299810.3501900028
46,35457.05229253888
47,282680.7719898129
48,335515.1693762657
49,111526.11981476819
50,131868.16745534877
51,275829.68479150673
52,225298.50346801616
53,125353.34880975295
54,295998.41700446984
55,283925.4095296669
56,107129.9897328506
57,183409.37350652536
58,217594.98418319228
59,237256.3842416546
60,312017.09383296705
61,241793.97395133867
62,238839.06005876051
63,125444.6509091109
64,150995.29990893017
65,185982.3522736146
66,196652.26763440837
67,104594.62988243048
68,142524.48289997884
69,326426.6267991731
70,337583.4718751736
71,211441.09051994752
72,151016.28793281358
73,259322.7581786912
74,168276.85458229226
75,286703.6723190276
76,154155.65200616757
77,249565.7621620772
78,258525.59397531705
79,225790.0792679663
80,160262.2004167125
81,242176.97917647404
82,203141.92636455403
83,225112.98576096105
84,139372.09467795864
85,183963.4914078687
86,117704.07128720282
87,332570.7184792592
88,159183.33272918596
89,136974.4961810333
90,75204.0120842027
91,336116.0402434083
92,254677.82934853973
93,212661.6486124272
94,129392.44593210916
95,201521.22521745582
96,153700.6872760312
97,313494.9983461092
98,179897.95743353572
99,98168.88497213802
100,177103.7724014015
101,115297.48267634629
102,179177.80695609737
103,167026.90213863648
104,412918.1309017068
