,0
0,319151.72518737323
1,232533.380232711
2,283999.5752906674
3,245390.7682164022
4,76420.81930099963
5,62755.411892635886
6,219534.56636501072
7,341261.30892498884
8,221200.59174340137
9,293742.53827416326
10,119601.0422544722
11,380315.4084931653
12,158583.68349392468
13,283467.8307912408
14,152718.33941895905
15,246914.10025008916
16,117758.63685506387
17,444266.13333600224
18,234739.5789988576
19,347081.4507017728
20,147162.60410852576
21,205548.03017649183
22,359428.81477954617
23,250951.7524497985
24,283239.2300851225
25,195345.5288091294
26,310094.4740738228
27,210742.04321429515
28,318393.811369753
29,180343.10931561515
30,182388.72409474908
31,209369.34988528508
32,63551.785390775214
33,262365.72406595154
34,297201.7951181367
35,258922.01277832844
36,340263.11559957283
37,333526.4546794263
38,264639.5159222427
39,80293.45449107442
40,195150.25557342236
41,340739.2031386185
42,142012.49937992176
43,333646.4514086521
44,226563.1250507886
45,312616.84055677155
46,265725.70464993495
47,258158.39586498516
48,82985.71315232749
49,255281.02513199608
