,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7
0,139861.57324181494,242990.47215267227,258479.06366576935,249863.94711395472,320986.43503938406,339660.49448396655,336528.95195988915,350452.30323958833
1,170028.04071520155,142871.03971098026,344446.73267910624,404010.0188605339,301368.502570858,328026.131036626,400262.7755011162,398923.5436164402
2,115634.52591710056,152897.74481290256,205139.97727673224,281728.4419954889,419442.7716828098,257611.08738272497,277245.2675844304,290801.0936939382
3,177124.94813770027,334052.0867634659,229061.90517622887,158954.70182237515,188948.19119721826,332334.51596655295,234674.64828074927,405577.87621154
4,158180.98775532862,114420.60956025816,272891.5571728153,216864.44584360882,332536.6425495343,265344.1303359629,419857.70937723055,216668.95518716777
5,328421.9762685696,217090.87326797156,175655.11356858208,201816.76868396671,212276.7457752089,397324.11045704095,369143.34840832325,431287.28705556155
6,190917.82814808172,229844.08015113306,195349.17488925005,175646.94055998442,238761.01445081003,363620.27581227466,267384.2153191515,385819.7572632916
7,262564.273773378,212212.85536101053,158009.29202660138,219234.99702091323,338924.5763619017,249193.43818992111,323619.2059289183,328331.24042820826
8,322958.27641482325,200630.16485833662,227824.8286135093,244797.8904326066,365848.39201566356,266500.00341887574,342256.3568438918,451600.2040086381
9,174559.63375851634,417188.2284663521,371107.6545688468,208903.37891652912,333906.9069108512,243421.98342954053,305656.84536010586,256213.0630164889
