,TTF0,TTF1,TTF2,TTF3,TTF4,TTF5,TTF6,TTF7
0,181066.18825651502,394834.67958919524,199906.58127974343,294540.0531856841,302852.175753905,434871.0635447608,305544.19335842784,275028.7020979226
1,373779.9359827251,236468.88888757632,263556.6641616506,368783.1440999173,275112.36900491116,301418.4091197562,289247.94106658845,521274.4151595859
2,229902.11330633805,269382.1287310263,324396.085611269,179428.27043016333,362175.4160050781,316040.83882274735,278396.05882175575,425880.2656942164
3,244582.14214751986,298368.29311980563,183317.8101980674,246892.2247829311,489159.69193730137,244420.46044927702,277339.442598641,302867.2363656641
4,111970.4364961812,183358.79596395936,385641.077865715,375711.97544352873,454724.4008624192,261380.3271811897,175740.55060140192,305093.398356819
5,329302.330314997,247315.9428173336,245394.69699250505,271878.2292498338,350730.3804920311,232103.5312447038,229976.5674004102,361269.82072433416
6,289677.8430403175,211401.99233934726,216282.12560171724,259927.88246659774,242137.3777610087,298221.78514562955,229867.3221384424,223482.7598333326
7,311239.59708983375,245243.87433520763,345788.67101336666,198810.30032901777,337361.17864124174,347970.0522332465,314082.20024374314,331418.4741365108
8,172141.68048920375,268972.9819770325,250534.92592818552,338919.5812911548,289629.53066276474,353268.30198757135,321936.04092235997,368120.4771615419
9,226104.24241743225,170761.32845981655,211187.04758520206,469440.0333796347,347948.17653674,336856.5416767428,579997.7651336023,297773.80028850125
